,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.ssl,timings.dns,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:05:30.184+03:00,GET,https://apod.nasa.gov/apod/astropix.html,HTTP/1.1,481,0,,200,OK,HTTP/1.1,0,text/html; charset=ISO-8859-1,,,269,5075,,,0,2102,23,2063,214,3,187,129.164.179.22,,2531,,
1,,2019-10-09T17:05:30.441+03:00,GET,https://apod.nasa.gov/apod/image/1910/Ngc7714_HubblePohl_1080.jpg,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,image/jpeg,,,327,65307,,,-1,-1,933,-1,-1,1,179,129.164.179.22,,1114,,
2,,2019-10-09T17:05:32.244+03:00,GET,https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=NASA,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,application/javascript,,,594,5059,,,0,1672,6,1648,127,0,99,13.225.249.111,,1906,value,
3,,2019-10-09T17:05:34.467+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,2075,25,2049,1,0,110,216.58.206.14,,2214,,
4,,2019-10-09T17:05:34.633+03:00,POST,https://www.google-analytics.com/r/collect,HTTP/1.1,450,597,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,-1,0,0,216.58.206.14,,0,,No response received
