,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.ssl,timings.dns,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:00:10.134+03:00,GET,http://www.shadyurl.com/,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/html,,,220,1398,,,14,56,0,-1,243,3,265,45.55.57.141,,582,,
1,,2019-10-09T18:00:10.772+03:00,GET,http://www.shadyurl.com/layout/shady.css,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,text/css,,,282,1259,,,1,-1,-1,-1,-1,2,171,45.55.57.141,,175,,
2,,2019-10-09T18:00:10.779+03:00,GET,http://www.shadyurl.com/images/header.gif,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/gif,,,232,4646,,,0,29,0,-1,2,2,261,45.55.57.141,,295,,
3,,2019-10-09T18:00:10.779+03:00,GET,http://pagead2.googlesyndication.com/pagead/show_ads.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,537,28215,,,59,36,0,-1,34,0,168,216.58.206.2,,299,,
4,,2019-10-09T18:00:10.998+03:00,GET,http://www.shadyurl.com/images/submitbtn.gif,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,image/gif,,,231,2024,,,1,-1,-1,-1,-1,1,162,45.55.57.141,,165,,
5,,2019-10-09T18:00:14.205+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,3,2984,0,2953,40,2,104,216.58.206.2,,3135,,
6,,2019-10-09T18:00:14.350+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,355,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2,3509,0,3475,33,1,106,172.217.18.4,,3653,,
7,,2019-10-09T18:00:14.496+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,1,3296,0,3264,48,1,99,216.58.206.2,,3447,value,
8,,2019-10-09T18:00:16.072+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,138,4917,0,4872,0,1,133,216.58.206.2,,5190,,
9,,2019-10-09T18:00:16.360+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,157,140,0,116,0,0,114,216.58.206.2,,412,,
