,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
19,,2019-10-09T16:20:22.590+03:00,GET,https://sb.scorecardresearch.com/b2?c1=2&c2=6035083&ns__t=1570627222496&ns_c=UTF-8&cv=3.1e&c8=Movies%20%7C%20Flixster&c7=https%3A%2F%2Fwww.flixster.com%2F&c9=,HTTP/1.1,575,0,,204,No Content,HTTP/1.1,0,,,,250,0,,,-1,-1,0,89,-1,0,-1,104.82.182.105,,90,value,
20,,2019-10-09T16:20:22.973+03:00,GET,https://cdnssl.clicktale.net/www/monitor-latest.js,HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,application/javascript,,,414,19662,,,0,196,0,850,230,343,0,104.82.118.247,,1426,,
21,,2019-10-09T16:20:22.973+03:00,GET,https://cdnssl.clicktale.net/www12/pcc/6cdf825f-4a87-4264-be5e-0d21df7f29c5.js?DeploymentConfigName=Release_20190220&Version=2,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,308,17707,,,0,196,0,567,230,1,0,104.82.118.247,,800,value,
22,,2019-10-09T16:20:23.551+03:00,GET,https://cdnssl.clicktale.net/www/WR-latest.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript,,,414,18689,,,-1,-1,0,1962,-1,435,-1,104.82.118.247,,2398,,
23,,2019-10-09T16:20:24.900+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15791706_p_v13_ay.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,38104,,,156,5272,1,96,5309,74,0,13.35.198.9,,5637,,
24,,2019-10-09T16:20:24.913+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p14624901_p_v13_ag.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,11575,,,0,3801,1,94,3835,6,0,13.35.198.9,,3937,,
25,,2019-10-09T16:20:24.923+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16240503_p_v13_ac.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36108,,,155,5293,0,93,5332,59,0,13.35.198.9,,5641,,
26,,2019-10-09T16:20:24.958+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16835712_p_v13_ad.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,39685,,,154,5329,1,94,5367,73,0,13.35.198.9,,5690,,
27,,2019-10-09T16:20:24.962+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16624487_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,31556,,,154,5333,1,85,5372,66,0,13.35.198.9,,5680,,
28,,2019-10-09T16:20:25.015+03:00,GET,https://assets.adobedtm.com/launch-EN93d99d56746548679c2c9d24f8bc7671.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,475,45340,,,36,5636,1,146,5666,48,0,212.55.188.52,,5898,,
