,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:28:29.400+03:00,GET,https://www.pointerpointer.com/,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,text/html,,,271,3819,,,13,0,1073,81,2,123,1037,188.166.32.155,,1294,,
1,,2019-10-09T17:28:29.570+03:00,GET,https://www.pointerpointer.com/js/load-min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,759,,,2,-1,-1,-1,1,107,-1,188.166.32.155,,111,,
2,,2019-10-09T17:28:29.692+03:00,GET,https://www.pointerpointer.com/reset.css,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css,,,269,868,,,0,-1,-1,-1,2,106,-1,188.166.32.155,,110,,
3,,2019-10-09T17:28:29.807+03:00,GET,https://www.pointerpointer.com/js/functions.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,251,,,2,-1,-1,-1,0,91,-1,188.166.32.155,,94,,
4,,2019-10-09T17:28:29.916+03:00,GET,https://www.pointerpointer.com/js/Bootstrap.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1462,,,0,-1,-1,-1,1,112,-1,188.166.32.155,,114,,
5,,2019-10-09T17:28:29.920+03:00,GET,https://www.pointerpointer.com/js/Stats.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1771,,,0,0,307,0,1,108,274,188.166.32.155,,419,,
6,,2019-10-09T17:28:32.485+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,38,0,2547,1,1,120,2517,216.58.206.8,,2708,,
7,,2019-10-09T17:28:32.678+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1703752758&utmhn=www.pointerpointer.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Pointer%20Pointer&utmhid=1666714330&utmr=-&utmp=%2F&utmht=1570631312670&utmac=UA-32525606-1&utmcc=__utma%3D145998261.830416236.1570631313.1570631313.1570631313.1%3B%2B__utmz%3D145998261.1570631313.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=498670745&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,873,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,-1,-1,-1,0,100,-1,216.58.206.8,,101,value,
8,,2019-10-09T17:28:33.109+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,69,0,3139,37,0,101,3101,93.184.220.66,,3348,,
9,,2019-10-09T17:28:33.313+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Fwww.pointerpointer.com,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,3,-1,-1,-1,0,103,-1,93.184.220.66,,108,value,
