,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T15:01:51.675+03:00,GET,https://www.codecademy.com/,HTTP/1.1,1242,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,894,20835,,,-1,-1,29,-1,0,251,-1,104.20.26.250,,280,,
1,,2019-10-12T15:01:51.988+03:00,GET,https://www.codecademy.com/webpack/105.b0ca2c49a6d3e4f35cbc.chunk.css,HTTP/1.1,1178,0,,200,OK,HTTP/1.1,0,text/css,,,534,1972,,,-1,-1,0,-1,1,118,-1,104.20.26.250,,119,,
2,,2019-10-12T15:01:51.988+03:00,GET,https://www.codecademy.com/webpack/7.76c67b49e29df656210e.chunk.css,HTTP/1.1,1176,0,,200,OK,HTTP/1.1,0,text/css,,,533,208,,,-1,-1,0,-1,0,118,-1,104.20.26.250,,119,,
3,,2019-10-12T15:01:51.992+03:00,GET,https://www.codecademy.com/webpack/30.5aef409b13034b8393c0.chunk.css,HTTP/1.1,1177,0,,200,OK,HTTP/1.1,0,text/css,,,533,252,,,-1,-1,0,-1,1,113,-1,104.20.26.250,,114,,
4,,2019-10-12T15:01:51.994+03:00,GET,https://www.codecademy.com/webpack/33.68bde9f8d8e049a57945.chunk.css,HTTP/1.1,1177,0,,200,OK,HTTP/1.1,0,text/css,,,533,131,,,-1,-1,0,-1,0,115,-1,104.20.26.250,,117,,
5,,2019-10-12T15:01:52.001+03:00,GET,https://www.codecademy.com/webpack/35.a5c741a5e238200f94d3.chunk.css,HTTP/1.1,1177,0,,200,OK,HTTP/1.1,0,text/css,,,534,1478,,,-1,-1,0,-1,0,104,-1,104.20.26.250,,105,,
6,,2019-10-12T15:01:52.001+03:00,GET,https://www.codecademy.com/webpack/74.4d78988499577313336d.chunk.css,HTTP/1.1,1177,0,,200,OK,HTTP/1.1,0,text/css,,,534,5181,,,-1,-1,0,-1,0,110,-1,104.20.26.250,,111,,
7,,2019-10-12T15:01:52.130+03:00,GET,https://www.codecademy.com/webpack/76.56a72f875e30b76d4158.chunk.css,HTTP/1.1,1177,0,,200,OK,HTTP/1.1,0,text/css,,,533,268,,,-1,-1,0,-1,0,119,-1,104.20.26.250,,120,,
8,,2019-10-12T15:01:52.130+03:00,GET,https://www.codecademy.com/webpack/91.4a2e66824076c2a0f6ba.chunk.css,HTTP/1.1,1177,0,,200,OK,HTTP/1.1,0,text/css,,,533,339,,,-1,-1,0,-1,0,108,-1,104.20.26.250,,109,,
9,,2019-10-12T15:01:52.130+03:00,GET,https://www.codecademy.com/webpack/111.6cc12a1df6b7ccb47bab.chunk.css,HTTP/1.1,1178,0,,200,OK,HTTP/1.1,0,text/css,,,533,461,,,-1,-1,0,-1,0,112,-1,104.20.26.250,,113,,
