,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:37:42.999+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1008,2246,,,2674,755,133,2,0,2710,10,3.219.183.180,,3613,
1,,2019-10-09T17:37:45.276+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-f054f04e.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,524,61699,,,1345,120,85,1,0,1389,296,13.226.6.196,,1892,
2,,2019-10-09T17:37:45.277+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-76cee218.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,292564,,,1343,116,86,0,0,1387,756,13.226.6.196,,2347,
3,,2019-10-09T17:37:45.277+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-7a122bdf.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,25480,,,1353,306,86,1,0,1390,27,13.226.6.196,,1810,
4,,2019-10-09T17:37:45.277+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-8308ac72.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,314477,,,1354,134,85,1,0,1390,840,13.226.6.196,,2452,
5,,2019-10-09T17:37:46.508+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570631866501,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1206,,,-1,171,-1,0,-1,-1,0,3.219.183.180,,173,value
6,,2019-10-09T17:37:46.570+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/hamburger-menu.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,232,,,-1,85,-1,0,-1,-1,1,13.226.6.196,,87,
7,,2019-10-09T17:37:46.571+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,1333,,,-1,83,-1,0,-1,-1,2,13.226.6.196,,86,
8,,2019-10-09T17:37:46.572+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,956,,,-1,86,-1,0,-1,-1,0,13.226.6.196,,87,
9,,2019-10-09T17:37:46.573+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2184,,,-1,90,-1,1,-1,-1,1,13.226.6.196,,93,
10,,2019-10-09T17:37:46.665+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,249,,,-1,88,-1,0,-1,-1,8,13.226.6.196,,97,
11,,2019-10-09T17:37:46.666+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,698,,,-1,88,-1,0,-1,-1,1,13.226.6.196,,90,
12,,2019-10-09T17:37:46.670+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,394,,,-1,105,-1,0,-1,-1,0,13.226.6.196,,106,
