,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:53:46.497+03:00,GET,https://asoftmurmur.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,501,188756,,,2,328,3587,82,0,3626,292,104.131.95.55,,4333,
1,,2019-10-09T16:53:47.132+03:00,GET,https://asoftmurmur.com/assets/img/spinner.gif,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/gif,,,460,5553,,,1,172,-1,-1,-1,-1,0,104.131.95.55,,174,
2,,2019-10-09T16:53:47.289+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/font-sfnt,,,497,43716,,,1,291,262,0,0,298,121,104.131.95.55,,713,
3,,2019-10-09T16:53:47.313+03:00,GET,https://asoftmurmur.com/assets/img/bg-high-res.jpg,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,image/jpeg,,,464,140196,,,1,291,264,0,0,298,270,104.131.95.55,,861,
4,,2019-10-09T16:53:47.317+03:00,GET,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,32794,,,1,290,225,0,0,301,39,104.131.95.55,,633,
5,,2019-10-09T16:53:47.319+03:00,GET,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,50481,,,1,303,269,0,0,303,124,104.131.95.55,,733,
6,,2019-10-09T16:53:49.231+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,322,1887,164,0,1912,158,104.131.95.55,,2559,
7,,2019-10-09T16:53:49.233+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,0,316,1886,162,0,1916,148,104.131.95.55,,2544,
8,,2019-10-09T16:53:49.235+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,293,1850,167,0,1913,167,104.131.95.55,,2542,
9,,2019-10-09T16:53:49.283+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,116,2334,25,0,2369,28,216.58.206.14,,2541,
10,,2019-10-09T16:53:49.284+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,223272,,,0,303,1900,153,0,1979,369,104.131.95.55,,2806,
11,,2019-10-09T16:53:49.467+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=238715430&t=pageview&_s=1&dl=https%3A%2F%2Fasoftmurmur.com%2F&ul=en-us&de=UTF-8&dt=A%20Soft%20Murmur&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=315787108&gjid=176303149&cid=1036333946.1570629229&tid=UA-42700626-2&_gid=552752181.1570629229&_r=1&z=1253699755,HTTP/1.1,675,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=1036333946.1570629229&jid=315787108&_gid=552752181.1570629229&gjid=176303149&_v=j79&z=1253699755,644,417,,,0,89,-1,-1,-1,-1,0,216.58.206.14,,90,value
