,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.dns,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:09:03.817+03:00,GET,https://www.flixster.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,914,22632,,,6,1648,145,1904,0,1686,33,23.42.193.99,,3776,,
1,,2019-10-09T17:09:05.774+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/BoxOfficePage.js,HTTP/1.1,554,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,978,6862,,,1,-1,-1,93,-1,-1,0,23.42.193.99,,95,,
2,,2019-10-09T17:09:05.874+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/_app.js,HTTP/1.1,545,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1124,24399,,,0,-1,-1,121,-1,-1,3,23.42.193.99,,126,,
3,,2019-10-09T17:09:05.952+03:00,GET,https://www.flixster.com/static/fonts/proximanova-regular-webfont.woff2,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,913,22144,,,1,135,0,134,0,168,4,23.42.193.99,,308,,
4,,2019-10-09T17:09:05.953+03:00,GET,https://www.flixster.com/static/fonts/proximanova-semibold-webfont.woff2,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,913,21576,,,1,130,0,131,0,168,4,23.42.193.99,,306,,
5,,2019-10-09T17:09:05.956+03:00,GET,https://www.flixster.com/_next/static/runtime/webpack-3df6523e264ff2ac6548.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,976,738,,,1,138,0,106,0,170,2,23.42.193.99,,280,,
6,,2019-10-09T17:09:05.958+03:00,GET,https://www.flixster.com/_next/static/chunks/commons.586d48eef463613fcacf.js,HTTP/1.1,548,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1126,348718,,,1,134,0,132,0,172,265,23.42.193.99,,572,,
7,,2019-10-09T17:09:05.958+03:00,GET,https://www.flixster.com/_next/static/runtime/main-4948c83ba21cd5469cba.js,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1122,4918,,,1,136,0,108,0,174,2,23.42.193.99,,287,,
8,,2019-10-09T17:09:06.007+03:00,GET,https://www.flixster.com/static/logo/logo_Mobile.svg,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,953,206694,,,0,-1,-1,112,-1,-1,204,23.42.193.99,,318,,
9,,2019-10-09T17:09:06.093+03:00,GET,https://www.flixster.com/static/logo/logo_Desktop.svg,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,953,214320,,,0,-1,-1,163,-1,-1,192,23.42.193.99,,356,,
