,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,response._error
0,,2019-10-08T18:29:01.110+03:00,GET,https://www.linkedin.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2427,8565,,,28,3,4443,289,22,4484,0,108.174.11.81,,4828,
1,,2019-10-08T18:29:02.843+03:00,GET,https://static-exp1.licdn.com/sc/h/3j6zm0c1mstkwjrb91ltlxbh5,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,767,14780,,,61,1,1290,1000,0,1317,0,212.55.190.51,,2381,
2,,2019-10-08T18:29:02.852+03:00,GET,https://static-exp1.licdn.com/sc/h/eziq3qqkuwxrtru4bng5hejve,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,774,22839,,,59,0,1299,174,18,1326,0,212.55.190.51,,1579,
3,,2019-10-08T18:29:02.859+03:00,GET,https://static-exp1.licdn.com/sc/h/ddho7et5nifmzos8a28j4jg6j,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,804,13167,,,59,0,1300,483,1,1333,0,212.55.190.51,,1879,
4,,2019-10-08T18:29:03.861+03:00,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,349,,,-1,0,-1,101,1,-1,-1,212.55.190.51,,103,
5,,2019-10-08T18:29:04.030+03:00,GET,https://static-exp1.licdn.com/sc/h/1fyj4hwfi29ai78rqj069u65r,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,0,-1,-1,212.55.190.51,,0,No response received
6,,2019-10-08T18:29:04.042+03:00,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,202,,,-1,0,-1,30,0,-1,-1,212.55.190.51,,32,
7,,2019-10-08T18:29:04.043+03:00,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,315,,,-1,0,-1,33,0,-1,-1,212.55.190.51,,34,
