,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T18:05:49.237+03:00,GET,https://www.instagram.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2964,10078,,,382,0,1537,2,365,31,1487,31.13.92.174,,2318,
1,,2019-10-08T18:05:49.889+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerUICommons.css/faa312336eda.css,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,text/css,,,349,12722,,,336,0,179,1,97,0,141,31.13.92.174,,614,
2,,2019-10-08T18:05:49.890+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerAsyncCommons.css/a57df2c9ce33.css,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,text/css,,,348,2968,,,27,0,185,3,96,0,149,31.13.92.174,,313,
3,,2019-10-08T18:05:49.890+03:00,GET,https://www.instagram.com/static/bundles/metro/Consumer.css/53fcc8013b2c.css,HTTP/1.1,537,0,,200,OK,HTTP/1.1,0,text/css,,,349,12711,,,318,0,179,1,99,0,141,31.13.92.174,,599,
4,,2019-10-08T18:05:49.892+03:00,GET,https://www.instagram.com/static/bundles/metro/Vendor.js/59e340c75ebf.js,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,64524,,,300,0,180,1,94,0,142,31.13.92.174,,577,
5,,2019-10-08T18:05:49.892+03:00,GET,https://www.instagram.com/static/bundles/metro/LandingPage.css/fcbab16f3f4c.css,HTTP/1.1,540,0,,200,OK,HTTP/1.1,0,text/css,,,348,3719,,,19,0,180,1,94,0,141,31.13.92.174,,295,
6,,2019-10-08T18:05:50.004+03:00,GET,https://www.instagram.com/static/bundles/metro/en_US.js/474ca24cc8c4.js,HTTP/1.1,517,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,43305,,,236,-1,-1,0,90,-1,-1,31.13.92.174,,327,
7,,2019-10-08T18:05:50.011+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerLibCommons.js/ad0e8d75cc98.js,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,118900,,,369,-1,-1,0,87,-1,-1,31.13.92.174,,457,
8,,2019-10-08T18:05:50.020+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerUICommons.js/fc549fab6212.js,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,36473,,,181,-1,-1,0,86,-1,-1,31.13.92.174,,269,
9,,2019-10-08T18:05:50.293+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerAsyncCommons.js/6ce0632548fc.js,HTTP/1.1,532,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,23796,,,30,-1,-1,0,93,-1,-1,31.13.92.174,,123,
