,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.wait,timings.dns,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T14:34:42.850+03:00,GET,https://apod.nasa.gov/apod/astropix.html,HTTP/1.1,481,0,,200,OK,HTTP/1.1,0,text/html; charset=ISO-8859-1,,,269,4922,,,1542,8,0,180,225,5,1503,129.164.179.22,,1961,,
1,,2019-10-12T14:34:43.075+03:00,GET,https://apod.nasa.gov/apod/image/1910/earth_cassinimessenger_1024c.jpg,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,image/jpeg,,,328,74911,,,-1,300,-1,178,-1,1,-1,129.164.179.22,,480,,
2,,2019-10-12T14:34:43.765+03:00,GET,https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=NASA,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,application/javascript,,,593,5054,,,649,6,0,112,43,0,618,143.204.192.21,,812,value,
3,,2019-10-12T14:34:45.656+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,1713,27,0,113,27,0,1684,172.217.22.110,,1884,,
4,,2019-10-12T14:34:45.843+03:00,POST,https://www.google-analytics.com/r/collect,HTTP/1.1,450,597,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,0,-1,172.217.22.110,,0,,No response received
