,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T13:07:07.824+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,441,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/?__r=1.11dfe5f68c35b25193d7b5e4233c091c,412,116,,,5,137,-1,81,5,58,0,213.186.33.107,,288,,
1,,2019-10-11T13:07:08.185+03:00,GET,http://orteil.dashnet.org/cookieclicker/?__r=1.11dfe5f68c35b25193d7b5e4233c091c,HTTP/1.1,480,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/,446,116,,,1,115,-1,-1,0,-1,-1,213.186.33.107,,118,value,
2,,2019-10-11T13:07:08.307+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,text/html,,,352,3926,,,0,107,-1,-1,3,-1,-1,213.186.33.107,,110,,
3,,2019-10-11T13:07:08.446+03:00,GET,http://orteil.dashnet.org/cookieclicker/showads.js,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,application/javascript,,,482,198,,,0,105,-1,-1,0,-1,-1,213.186.33.107,,106,,
4,,2019-10-11T13:07:08.452+03:00,GET,http://orteil.dashnet.org/cookieclicker/main.js?v=2.06,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,application/javascript,,,485,197309,,,2,126,-1,3,232,27,0,213.186.33.107,,391,value,
5,,2019-10-11T13:07:08.454+03:00,GET,http://orteil.dashnet.org/cookieclicker/style.css?v=2.050,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,text/css,,,470,12239,,,2,128,-1,2,1,26,0,213.186.33.107,,162,value,
6,,2019-10-11T13:07:08.454+03:00,GET,http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,536,36826,,,7,164,-1,30,82,27,0,172.217.23.162,,312,,
7,,2019-10-11T13:07:08.455+03:00,GET,http://orteil.dashnet.org/cookieclicker/base64.js,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/javascript,,,483,931,,,1,131,-1,1,0,26,0,213.186.33.107,,161,,
8,,2019-10-11T13:07:11.573+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,893,36828,,,2,110,3057,30,79,3080,0,172.217.23.162,,3303,,
9,,2019-10-11T13:07:11.575+03:00,GET,"https://fonts.googleapis.com/css?family=Merriweather:900&subset=latin,latin-ext",HTTP/1.1,426,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,431,,,0,103,3061,0,0,3083,0,172.217.23.106,,3189,value,
10,,2019-10-11T13:07:13.189+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,693,1726,,,0,157,4675,30,0,4697,0,104.19.197.151,,4887,,
