,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
17,,2019-09-28T19:26:14.721+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28967,,,-1,1,-1,118,39,-1,-1,157.240.1.23,,159,value
18,,2019-09-28T19:26:14.796+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,1,-1,112,0,-1,-1,157.240.1.35,,114,
19,,2019-09-28T19:26:14.811+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,-1,0,-1,284,33,-1,-1,157.240.1.23,,318,value
20,,2019-09-28T19:26:14.862+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,0,-1,219,2,-1,-1,157.240.1.23,,222,value
21,,2019-09-28T19:26:14.895+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35760,,,-1,0,-1,204,30,-1,-1,157.240.1.23,,235,value
22,,2019-09-28T19:26:14.896+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNz24/yg/l/he_IL/53HXKa4Btdy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4543,,,-1,0,-1,186,41,-1,-1,157.240.1.23,,229,value
23,,2019-09-28T19:26:15.095+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,-1,0,-1,106,4,-1,-1,157.240.1.23,,112,value
24,,2019-09-28T19:26:15.128+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,0,-1,99,8,-1,-1,157.240.1.23,,108,value
25,,2019-09-28T19:26:15.136+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,0,-1,112,13,-1,-1,157.240.1.23,,126,value
26,,2019-09-28T19:26:15.142+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,0,-1,116,1,-1,-1,157.240.1.23,,119,value
27,,2019-09-28T19:26:15.276+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/y8/r/dF5SId3UHWd.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,1086,1030,,,0,1,471,92,2,3579,0,157.240.1.23,,3675,
28,,2019-09-28T19:26:15.336+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,1,463,101,261,3605,0,157.240.1.23,,3970,
29,,2019-09-28T19:26:15.379+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/FCL54XJbMl1.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,98852,,,-1,1,-1,92,558,-1,-1,157.240.1.23,,651,
30,,2019-09-28T19:26:15.708+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/YQNfPR9MJfx.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,925,,,-1,0,-1,440,0,-1,-1,157.240.1.23,,442,
31,,2019-09-28T19:26:16.030+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/kXi20P20rol.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17241,,,0,1,182,522,781,3275,0,157.240.1.23,,4581,
32,,2019-09-28T19:26:16.037+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/4VKqg5G-mwJ.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14156,,,-1,0,-1,450,11,-1,-1,157.240.1.23,,462,
33,,2019-09-28T19:26:16.785+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1,1,4049,111,1,4151,0,157.240.1.35,,4267,
