,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.ssl,timings.wait,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T17:32:02.657+03:00,GET,http://www.foddy.net/2010/10/qwop/,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,522,6803,,,0,-1,-1,236,-1,-1,4,104.28.22.57,,241,,
1,,2019-10-08T17:32:02.914+03:00,GET,https://fonts.googleapis.com/css?family=Noto+Sans%3A300%2C400%2C600%2C700%2C400italic%7CLato%3A300%2C400%2C600%2C700%2C400italic%7CCabin%3A300%2C400%2C600%2C700%2C400italic&subset=latin%2Clatin-ext%2Ccyrillic-ext%2Cgreek-ext%2Ccyrillic,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,1033,,,0,-1,-1,101,-1,-1,0,216.58.207.42,,103,value,
2,,2019-10-08T17:32:03.099+03:00,POST,http://www.foddy.net/wp/wp-admin/admin-ajax.php,HTTP/1.1,592,49,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,683,2503,,,0,-1,-1,831,-1,-1,0,104.28.22.57,,832,,
3,,2019-10-08T17:32:07.137+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,0,3988,110,4016,0,138,172.217.16.130,,4266,,
4,,2019-10-08T17:32:07.393+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,-1,-1,106,-1,-1,58,172.217.16.130,,164,,
5,,2019-10-08T17:32:07.626+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.foddy.net,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,4486,108,4506,0,1,216.58.205.226,,4618,value,
6,,2019-10-08T17:32:09.040+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=www.foddy.net,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,5901,101,5920,0,0,216.58.205.226,,6023,value,
7,,2019-10-08T17:32:13.043+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29127,,,0,30,5344,94,5373,0,70,216.58.207.34,,5570,value,
8,,2019-10-08T17:32:13.498+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,562,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,0,0,5830,84,5866,0,2,216.58.205.226,,5955,,
9,,2019-10-08T17:32:13.520+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8783609410325228&output=html&h=600&twa=1&slotname=8109438796&adk=3427189877&adf=460500715&w=255&fwrn=4&fwrnh=100&lmt=1570546137&guci=2.2.0.0.2.2.0.0&format=255x600&url=http%3A%2F%2Fwww.foddy.net%2F2010%2F10%2Fqwop%2F&flash=0&fwr=0&rh=600&rw=255&wgl=1&dt=1570545123116&bpp=19&bdt=211&fdt=4471&idt=4472&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=5491672709552&frm=20&pv=2&ga_vid=1275298081.1570545128&ga_sid=1570545128&ga_hid=2059660049&ga_fc=0&iag=0&icsg=16299&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=523&ady=993&biw=779&bih=600&scr_x=0&scr_y=0&eid=151527021%2C151527221%2C368226300%2C368226305%2C368226310&oid=3&pvsid=4273102964204137&pem=494&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CleEbr%7C&abl=CS&pfx=0&fu=16&bc=23&ifi=1&uci=1.v89jhigh3lw&xpc=e6FkhkhJJF&p=http%3A//www.foddy.net&dtd=4506,HTTP/1.1,1461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,19502,,,1,0,10346,433,10380,0,52,216.58.205.226,,10868,value,
