,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.ssl,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:45:48.133+03:00,GET,https://findtheinvisiblecow.com/,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/html,,,492,1026,,,2332,14,0,2,2292,139,113,13.225.249.11,,2601,
1,,2019-10-09T17:45:48.290+03:00,GET,https://findtheinvisiblecow.com/static/css/app.dec7a28ea6193a83f2f33a2b9f30b38a.css,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/css,,,491,1596,,,-1,1,-1,2,-1,-1,102,13.225.249.11,,107,
2,,2019-10-09T17:45:48.411+03:00,GET,https://findtheinvisiblecow.com/static/js/manifest.7a421f3f459a2102cc78.js,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,application/javascript,,,515,877,,,-1,2,-1,1,-1,-1,153,13.225.249.11,,157,
3,,2019-10-09T17:45:48.573+03:00,GET,https://findtheinvisiblecow.com/static/js/vendor.1e4877a82fa06b470b44.js,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript,,,505,49395,,,-1,59,-1,0,-1,-1,167,13.225.249.11,,228,
4,,2019-10-09T17:45:48.687+03:00,GET,https://findtheinvisiblecow.com/static/js/app.fc261c6949ccc7be570d.js,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,application/javascript,,,505,33778,,,376,115,0,1,336,0,91,13.225.249.11,,584,
5,,2019-10-09T17:45:49.507+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto:100,400,700",HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,614,,,1210,0,0,0,1169,1,107,172.217.23.138,,1320,value
6,,2019-10-09T17:45:49.713+03:00,GET,https://findtheinvisiblecow.com/static/sound/cow/0.mp3,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,audio/mp3,,,503,5432,,,-1,0,-1,0,-1,-1,130,13.225.249.11,,131,
7,,2019-10-09T17:45:49.714+03:00,GET,https://findtheinvisiblecow.com/static/sound/cow/1.mp3,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,audio/mp3,,,503,5432,,,-1,0,-1,1,-1,-1,127,13.225.249.11,,129,
8,,2019-10-09T17:45:49.714+03:00,GET,https://findtheinvisiblecow.com/static/sound/cow/2.mp3,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,audio/mp3,,,503,6686,,,388,0,0,1,351,0,126,13.225.249.11,,517,
9,,2019-10-09T17:45:49.716+03:00,GET,https://findtheinvisiblecow.com/static/sound/cow/3.mp3,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,audio/mp3,,,503,6268,,,390,0,0,1,352,0,104,13.225.249.11,,496,
