,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.wait,timings.send,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:52:57.936+03:00,GET,https://lizardpoint.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,316,22363,,,0,141,7639,175,2,1,7589,209.95.52.192,,7960,
1,,2019-10-09T16:52:58.266+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/css/bootstrap.min.css,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/css,,,190,121200,,,-1,646,-1,172,0,-1,-1,209.95.52.192,,820,
2,,2019-10-09T16:52:58.487+03:00,GET,https://lizardpoint.com/shared/css/carousel.css,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,text/css,,,188,2586,,,0,3,292,152,1,0,259,209.95.52.192,,449,
3,,2019-10-09T16:52:58.490+03:00,GET,https://lizardpoint.com/shared/css/ie10-viewport-bug-workaround.css,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,text/css,,,187,433,,,0,0,288,157,0,0,255,209.95.52.192,,446,
4,,2019-10-09T16:52:58.502+03:00,GET,https://lizardpoint.com/shared/js/registration.js?,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,45240,,,0,248,300,167,1,0,267,209.95.52.192,,718,
5,,2019-10-09T16:52:58.502+03:00,GET,https://lizardpoint.com/images/new-logo-split-vert-alternate-140.png,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,image/png,,,190,85763,,,0,376,308,174,0,0,267,209.95.52.192,,860,
6,,2019-10-09T16:52:58.610+03:00,GET,https://lizardpoint.com/images/laptop500-2.jpg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/jpeg,,,191,59575,,,0,276,341,169,0,0,308,209.95.52.192,,789,
7,,2019-10-09T16:52:58.931+03:00,POST,https://lizardpoint.com/shared/php/get-session.php,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,252,5,,,-1,0,-1,161,0,-1,-1,209.95.52.192,,162,
8,,2019-10-09T16:52:59.064+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/js/bootstrap.min.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,37045,,,-1,120,-1,161,0,-1,-1,209.95.52.192,,281,
9,,2019-10-09T16:52:59.350+03:00,GET,https://lizardpoint.com/shared/js/ie10-viewport-bug-workaround.js,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,application/javascript,,,201,641,,,-1,0,-1,161,0,-1,-1,209.95.52.192,,162,
10,,2019-10-09T16:52:59.515+03:00,GET,https://lizardpoint.com/shared/images/stamps500.gif,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/gif,,,190,80528,,,-1,147,-1,174,0,-1,-1,209.95.52.192,,322,
11,,2019-10-09T16:52:59.843+03:00,GET,https://lizardpoint.com/images/olderstudents1200.jpg,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,image/jpeg,,,192,381692,,,-1,296,-1,165,0,-1,-1,209.95.52.192,,462,
12,,2019-10-09T16:53:00.289+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33951,,,0,73,1221,96,0,4,1189,172.217.18.170,,1396,
13,,2019-10-09T16:53:00.315+03:00,GET,https://lizardpoint.com/images/trivia-globe-qmark.gif,HTTP/1.1,458,0,,200,OK,HTTP/1.1,0,image/gif,,,189,9449,,,-1,2,-1,153,0,-1,-1,209.95.52.192,,155,
14,,2019-10-09T16:53:00.474+03:00,GET,https://lizardpoint.com/images/globe-search2.gif,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/gif,,,190,11055,,,-1,2,-1,190,0,-1,-1,209.95.52.192,,193,
15,,2019-10-09T16:53:00.673+03:00,GET,https://lizardpoint.com/images/artist-quizzes-van-gogh.gif,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,image/gif,,,190,54980,,,-1,15,-1,159,0,-1,-1,209.95.52.192,,176,
16,,2019-10-09T16:53:00.674+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,text/css,,,662,6663,,,0,244,2435,151,0,36,2408,104.19.196.151,,2868,
17,,2019-10-09T16:53:01.217+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,font/woff2,,,191,18028,,,-1,17,-1,154,1,-1,-1,209.95.52.192,,172,
18,,2019-10-09T16:53:01.447+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,672,77160,,,0,386,228,89,0,0,208,104.19.196.151,,705,value
19,,2019-10-09T16:53:04.089+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,30,2989,82,0,5,2962,216.58.206.14,,3108,
