,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T07:55:20.589+03:00,GET,https://thisissand.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,250,5447,,,0,2886,5,27,214,3,2846,198.58.116.172,,3137,
1,,2019-10-12T07:55:20.839+03:00,GET,https://thisissand.com/dist/bundle.min.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css,,,235,52817,,,-1,-1,163,-1,372,1,-1,198.58.116.172,,537,
2,,2019-10-12T07:55:21.384+03:00,GET,https://thisissand.com/dist/bundle.min.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript,,,251,976080,,,-1,-1,679,-1,207,1,-1,198.58.116.172,,888,
3,,2019-10-12T07:55:21.448+03:00,GET,https://thisissand.com/assets/images/appStoreBadge.png,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,image/png,,,234,3531,,,0,601,1,0,210,1,569,198.58.116.172,,813,
4,,2019-10-12T07:55:21.449+03:00,GET,https://thisissand.com/assets/images/playStoreBadge.png,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,image/png,,,235,8120,,,0,602,0,0,213,1,570,198.58.116.172,,817,
5,,2019-10-12T07:55:21.667+03:00,GET,https://thisissand.com/assets/images/instagram.png,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,image/png,,,234,2731,,,-1,-1,0,-1,195,0,-1,198.58.116.172,,196,
6,,2019-10-12T07:55:21.670+03:00,GET,https://thisissand.com/assets/images/facebook.png,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,image/png,,,234,2236,,,-1,-1,0,-1,192,0,-1,198.58.116.172,,193,
7,,2019-10-12T07:55:21.870+03:00,GET,https://thisissand.com/assets/images/twitter.png,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,image/png,,,234,2605,,,-1,-1,0,-1,193,0,-1,198.58.116.172,,195,
8,,2019-10-12T07:55:21.870+03:00,GET,https://thisissand.com/assets/images/tumblr.png,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/png,,,234,2344,,,-1,-1,0,-1,193,0,-1,198.58.116.172,,194,
9,,2019-10-12T07:55:26.237+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,3907,35,33,104,0,3888,216.58.206.14,,4080,
10,,2019-10-12T07:55:26.406+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=125534530&t=pageview&_s=1&dl=https%3A%2F%2Fthisissand.com%2F&ul=en-us&de=UTF-8&dt=Thisissand&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=327441158&gjid=148294712&cid=1047456103.1570856126&tid=UA-8120964-1&_gid=432627281.1570856126&_r=1&z=855483754,HTTP/1.1,664,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,0,-1,98,0,-1,216.58.206.14,,99,value
11,,2019-10-12T07:55:26.791+03:00,GET,https://d2wy8f7a9ursnm.cloudfront.net/bugsnag-2.min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,542,2962,,,0,5785,3,159,94,0,5761,13.226.6.99,,6043,
12,,2019-10-12T07:55:26.899+03:00,GET,https://thisissand.com/dist/7d1cb99317f654a8c6b7723f3ff15084.jpg,HTTP/1.1,517,0,,200,OK,HTTP/1.1,0,image/jpeg,,,239,547362,,,-1,-1,1017,-1,367,0,-1,198.58.116.172,,1385,
13,,2019-10-12T07:55:26.899+03:00,GET,https://thisissand.com/dist/8e2d6d389bedb4ae73631ddbcdab9c33.png,HTTP/1.1,517,0,,200,OK,HTTP/1.1,0,image/png,,,238,634581,,,-1,-1,1018,-1,363,0,-1,198.58.116.172,,1382,
14,,2019-10-12T07:55:27.302+03:00,GET,https://thisissand.com/dist/ff56f4e71bb98dcb3d33f6e529b5275f.woff2,HTTP/1.1,512,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,24008,,,-1,-1,3,-1,381,0,-1,198.58.116.172,,385,
15,,2019-10-12T07:55:27.302+03:00,GET,https://thisissand.com/dist/a44bc33777315bb6d29a623b3125de62.woff2,HTTP/1.1,512,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,23728,,,0,602,3,0,384,0,570,198.58.116.172,,991,
