,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.dns,timings.ssl,timings.send,serverIPAddress,comment,time
0,,2019-10-09T17:01:34.982+03:00,GET,https://www.ineedaprompt.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,270,14082,,,5,0,2052,265,213,1909,2,192.241.177.50,,2539
1,,2019-10-09T17:01:35.282+03:00,GET,https://www.ineedaprompt.com/styles.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,327,5635,,,1,-1,-1,177,-1,-1,1,192.241.177.50,,180
2,,2019-10-09T17:01:35.477+03:00,GET,https://www.ineedaprompt.com/ineedaprompt.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,7890,,,1,-1,-1,168,-1,-1,2,192.241.177.50,,172
3,,2019-10-09T17:01:35.589+03:00,GET,https://www.ineedaprompt.com/script.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,4454,,,2,0,299,173,0,265,2,192.241.177.50,,477
