,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T14:08:04.916+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,2246,,,132,2,2633,264,14,2666,0,54.87.7.25,,3080,
1,,2019-10-11T14:08:07.376+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-f054f04e.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,524,61699,,,136,2,1958,159,120,1994,0,13.226.6.196,,2413,
2,,2019-10-11T14:08:07.377+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-76cee218.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,292564,,,136,1,1964,165,257,1993,0,13.226.6.196,,2554,
3,,2019-10-11T14:08:07.378+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-7a122bdf.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,25480,,,135,0,1960,146,53,1996,0,13.226.6.196,,2333,
4,,2019-10-11T14:08:07.378+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-8308ac72.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,314477,,,135,0,1960,145,275,1996,0,13.226.6.196,,2553,
5,,2019-10-11T14:08:08.124+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570792088118,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1207,,,-1,1,-1,179,1,-1,-1,54.87.7.25,,181,value
6,,2019-10-11T14:08:08.181+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,1333,,,-1,0,-1,90,2,-1,-1,13.226.6.196,,92,
7,,2019-10-11T14:08:08.182+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/hamburger-menu.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,232,,,-1,0,-1,92,0,-1,-1,13.226.6.196,,94,
8,,2019-10-11T14:08:08.182+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,956,,,-1,0,-1,93,0,-1,-1,13.226.6.196,,94,
9,,2019-10-11T14:08:08.184+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2184,,,-1,0,-1,89,1,-1,-1,13.226.6.196,,91,
10,,2019-10-11T14:08:08.284+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,249,,,-1,0,-1,88,0,-1,-1,13.226.6.196,,89,
11,,2019-10-11T14:08:08.284+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,698,,,-1,0,-1,90,0,-1,-1,13.226.6.196,,91,
12,,2019-10-11T14:08:08.284+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,394,,,-1,0,-1,90,0,-1,-1,13.226.6.196,,91,
13,,2019-10-11T14:08:08.284+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,293,,,-1,0,-1,89,0,-1,-1,13.226.6.196,,91,
14,,2019-10-11T14:08:08.311+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,797,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1159,2,,,-1,0,-1,194,0,-1,-1,54.87.7.25,,196,
15,,2019-10-11T14:08:08.384+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-streak.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,454,,,-1,0,-1,88,0,-1,-1,13.226.6.196,,90,
16,,2019-10-11T14:08:08.384+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-lingot.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,389,,,-1,0,-1,87,0,-1,-1,13.226.6.196,,88,
