,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time
0,,2019-10-11T19:23:44.000+03:00,POST,https://www.taringa.net/apiv7/track/story/impression,HTTP/1.1,897,40,,0,,unknown,0,,,,-1,-1,,No response received,,-1,0,-1,0,-1,0,-1,104.16.249.39,,0
1,,2019-10-11T19:23:45.610+03:00,GET,https://www.taringa.net/,HTTP/1.1,863,0,,503,Service Unavailable,HTTP/1.1,0,text/html; charset=utf-8,,,445,1699,,,,-1,22636,-1,0,-1,1,-1,104.16.249.39,,22638
2,,2019-10-11T19:23:47.321+03:00,CONNECT,https://static.quantcast.mgr.consensu.org,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,Unable to connect to host,,-1,0,37,0,2961,0,0,143.204.192.67,,2999
