,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T15:59:49.035+03:00,GET,https://asoftmurmur.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,501,188756,,,328,0,2922,3,107,306,2886,192.241.156.233,,3667,
1,,2019-10-08T15:59:49.685+03:00,GET,https://asoftmurmur.com/assets/img/spinner.gif,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/gif,,,460,5553,,,0,-1,-1,1,-1,170,-1,192.241.156.233,,172,
2,,2019-10-08T15:59:49.818+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/font-sfnt,,,497,43716,,,133,0,281,1,0,307,254,192.241.156.233,,723,
3,,2019-10-08T15:59:49.842+03:00,GET,https://asoftmurmur.com/assets/img/bg-high-res.jpg,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,image/jpeg,,,464,140196,,,260,0,283,1,0,287,250,192.241.156.233,,833,
4,,2019-10-08T15:59:49.851+03:00,GET,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,32794,,,31,0,288,1,0,293,260,192.241.156.233,,614,
5,,2019-10-08T15:59:49.859+03:00,GET,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,50481,,,120,0,299,1,0,304,267,192.241.156.233,,725,
6,,2019-10-08T15:59:53.883+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,183,0,4074,1,93,307,4049,165.227.192.63,,4660,
7,,2019-10-08T15:59:53.883+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,136,0,4075,1,90,289,4050,165.227.192.63,,4592,
8,,2019-10-08T15:59:53.883+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,154,0,4079,1,88,299,4054,165.227.192.63,,4622,
9,,2019-10-08T15:59:54.536+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,223272,,,367,0,353,0,0,288,317,165.227.192.63,,1010,
