,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T14:18:49.774+03:00,GET,https://www.codecademy.com/,HTTP/1.1,1219,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,894,20760,,,34,-1,-1,0,-1,-1,231,104.20.25.250,,267,
1,,2019-10-11T14:18:50.031+03:00,GET,https://www.codecademy.com/webpack/105.b0ca2c49a6d3e4f35cbc.chunk.css,HTTP/1.1,1155,0,,200,OK,HTTP/1.1,0,text/css,,,534,1972,,,0,-1,-1,1,-1,-1,108,104.20.25.250,,110,
2,,2019-10-11T14:18:50.031+03:00,GET,https://www.codecademy.com/webpack/7.76c67b49e29df656210e.chunk.css,HTTP/1.1,1153,0,,200,OK,HTTP/1.1,0,text/css,,,533,208,,,0,-1,-1,0,-1,-1,111,104.20.25.250,,111,
3,,2019-10-11T14:18:50.033+03:00,GET,https://www.codecademy.com/webpack/30.5aef409b13034b8393c0.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,533,252,,,0,-1,-1,0,-1,-1,108,104.20.25.250,,109,
4,,2019-10-11T14:18:50.034+03:00,GET,https://www.codecademy.com/webpack/33.68bde9f8d8e049a57945.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,533,131,,,0,-1,-1,1,-1,-1,109,104.20.25.250,,111,
5,,2019-10-11T14:18:50.044+03:00,GET,https://www.codecademy.com/webpack/35.a5c741a5e238200f94d3.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,534,1478,,,0,-1,-1,0,-1,-1,106,104.20.25.250,,107,
6,,2019-10-11T14:18:50.144+03:00,GET,https://www.codecademy.com/webpack/74.4d78988499577313336d.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,534,5181,,,0,-1,-1,0,-1,-1,96,104.20.25.250,,96,
7,,2019-10-11T14:18:50.148+03:00,GET,https://www.codecademy.com/webpack/76.56a72f875e30b76d4158.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,533,268,,,0,-1,-1,0,-1,-1,106,104.20.25.250,,107,
8,,2019-10-11T14:18:50.149+03:00,GET,https://www.codecademy.com/webpack/92.4a2e66824076c2a0f6ba.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,533,339,,,0,-1,-1,0,-1,-1,95,104.20.25.250,,96,
9,,2019-10-11T14:18:50.151+03:00,GET,https://www.codecademy.com/webpack/111.6cc12a1df6b7ccb47bab.chunk.css,HTTP/1.1,1155,0,,200,OK,HTTP/1.1,0,text/css,,,533,461,,,0,-1,-1,0,-1,-1,99,104.20.25.250,,100,
10,,2019-10-11T14:18:50.154+03:00,GET,https://www.codecademy.com/webpack/0.834129a31aa84bdadb07.chunk.css,HTTP/1.1,1153,0,,200,OK,HTTP/1.1,0,text/css,,,533,325,,,0,-1,-1,0,-1,-1,110,104.20.25.250,,111,
11,,2019-10-11T14:18:50.238+03:00,GET,https://www.codecademy.com/webpack/1.c2e56ddc298af3dce9de.chunk.css,HTTP/1.1,1153,0,,200,OK,HTTP/1.1,0,text/css,,,533,147,,,0,0,201,0,0,168,107,104.20.25.250,,310,
12,,2019-10-11T14:18:50.245+03:00,GET,https://www.codecademy.com/webpack/2.a758190cc4232e11e584.chunk.css,HTTP/1.1,1153,0,,200,OK,HTTP/1.1,0,text/css,,,533,482,,,0,-1,-1,0,-1,-1,98,104.20.25.250,,98,
13,,2019-10-11T14:18:50.248+03:00,GET,https://www.codecademy.com/webpack/23.e061bc32eef55c23c968.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,534,1502,,,0,-1,-1,0,-1,-1,108,104.20.25.250,,109,
14,,2019-10-11T14:18:50.253+03:00,GET,https://www.codecademy.com/webpack/65.45214f5047bee175b0de.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,518,249,,,0,-1,-1,0,-1,-1,103,104.20.25.250,,104,
15,,2019-10-11T14:18:50.258+03:00,GET,https://www.codecademy.com/webpack/78.35a241d1db754e08fa68.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,518,684,,,0,-1,-1,0,-1,-1,97,104.20.25.250,,97,
16,,2019-10-11T14:18:50.268+03:00,GET,https://www.codecademy.com/webpack/91.d803e06b6ca2b421f9ad.chunk.css,HTTP/1.1,1154,0,,200,OK,HTTP/1.1,0,text/css,,,533,653,,,0,-1,-1,0,-1,-1,124,104.20.25.250,,125,
17,,2019-10-11T14:18:50.347+03:00,GET,https://www.codecademy.com/webpack/110.e96df2b662230d8d1849.chunk.css,HTTP/1.1,1155,0,,200,OK,HTTP/1.1,0,text/css,,,534,1250,,,0,-1,-1,0,-1,-1,98,104.20.25.250,,99,
18,,2019-10-11T14:18:50.349+03:00,GET,https://www.codecademy.com/webpack/157.ea4a780c80a2b836eaf7.chunk.css,HTTP/1.1,1155,0,,200,OK,HTTP/1.1,0,text/css,,,518,477,,,0,-1,-1,0,-1,-1,95,104.20.25.250,,97,
19,,2019-10-11T14:18:50.363+03:00,GET,https://www.codecademy.com/webpack/189.517988f27f5ab80c5e96.chunk.css,HTTP/1.1,1155,0,,200,OK,HTTP/1.1,0,text/css,,,534,1124,,,0,-1,-1,0,-1,-1,108,104.20.25.250,,109,
20,,2019-10-11T14:18:50.363+03:00,GET,https://www.codecademy.com/webpack/corporate-scenes-Landing.8e123beca1a22926b8a3.chunk.css,HTTP/1.1,1176,0,,200,OK,HTTP/1.1,0,text/css,,,534,3052,,,0,-1,-1,0,-1,-1,113,104.20.25.250,,114,
21,,2019-10-11T14:18:50.483+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,23,-1,-1,0,-1,-1,82,216.58.206.14,,106,
22,,2019-10-11T14:18:50.560+03:00,GET,https://www.codecademy.com/webpack/GTMUserSignUp.072430f728649243c761.chunk.js,HTTP/1.1,1149,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,267,,,0,-1,-1,0,-1,-1,108,104.20.25.250,,109,
23,,2019-10-11T14:18:50.653+03:00,POST,https://www.codecademy.com/events/ad?authentication_token=,HTTP/1.1,1271,747,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,908,41,,,0,-1,-1,0,-1,-1,225,104.20.25.250,,226,value
24,,2019-10-11T14:18:50.655+03:00,POST,https://www.codecademy.com/events/user?authentication_token=,HTTP/1.1,1273,729,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,930,41,,,0,-1,-1,0,-1,-1,223,104.20.25.250,,224,value
