,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.ssl,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T15:41:34.918+03:00,GET,https://www.rainymood.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,523,3478,,,0,2788,16,2,2748,88,450,104.27.170.92,,3347,
1,,2019-10-12T15:41:35.435+03:00,GET,https://www.rainymood.com/i/icons/instagram/instagram-48a.png,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,image/png,,,482,749,,,-1,-1,3,1,-1,-1,116,104.27.170.92,,121,
2,,2019-10-12T15:41:35.561+03:00,GET,https://www.rainymood.com/css/marcellussc-regular-webfont.woff2,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,font/woff2,,,485,25072,,,-1,-1,49,0,-1,-1,106,104.27.170.92,,156,
3,,2019-10-12T15:41:35.595+03:00,GET,https://www.rainymood.com/i/b/75.jpg,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/jpeg,,,486,143621,,,0,146,175,0,117,0,104,104.27.170.92,,427,
4,,2019-10-12T15:41:35.612+03:00,GET,https://www.rainymood.com/i/icons/twitter/twitter-48a.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,482,689,,,0,160,1,1,133,0,106,104.27.170.92,,269,
5,,2019-10-12T15:41:35.613+03:00,GET,https://www.rainymood.com/i/icons/facebook/facebook-48a.png,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/png,,,482,561,,,0,162,1,0,134,0,104,104.27.170.92,,269,
6,,2019-10-12T15:41:35.618+03:00,GET,https://www.rainymood.com/i/badgeApple1.png,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,image/png,,,483,2247,,,0,164,0,0,139,0,153,104.27.170.92,,319,
7,,2019-10-12T15:41:35.626+03:00,GET,https://www.rainymood.com/i/badgeGooglePlay1.png,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,image/png,,,483,2627,,,0,186,4,0,147,0,106,104.27.170.92,,298,
8,,2019-10-12T15:41:35.745+03:00,GET,https://www.rainymood.com/appad/appad-poster4.jpg,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,image/jpeg,,,485,52119,,,-1,-1,51,0,-1,-1,136,104.27.170.92,,188,
9,,2019-10-12T15:41:35.751+03:00,GET,https://www.rainymood.com/audio1110/0.m4a,HTTP/1.1,441,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,432,-1,,,-1,-1,680,0,-1,-1,387,104.27.170.92,,1068,
10,,2019-10-12T15:41:36.991+03:00,GET,https://rainymood.com/i/play4.png,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/png,,,483,1223,,,0,1453,0,0,1416,80,115,104.27.170.92,,1650,
11,,2019-10-12T15:41:40.739+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,363,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,5259,32,0,5232,32,97,172.217.22.110,,5423,
12,,2019-10-12T15:41:40.911+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&aip=1&a=1111528907&t=pageview&_s=1&dl=https%3A%2F%2Fwww.rainymood.com%2F&ul=en-us&de=UTF-8&dt=Rainy%20Mood%20-%20Helps%20you%20to%20focus%2C%20relax%2C%20and%20sleep.%20Now%20available%20for%20iOS%20and%20Android&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAAAB~&cid=1061702464.1570884101&tid=UA-685453-6&_gid=417801618.1570884101&z=1494182955,HTTP/1.1,749,0,,200,OK,HTTP/1.1,0,image/gif,,,478,35,,,-1,-1,1,0,-1,-1,93,172.217.22.110,,95,value
