,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.ssl,timings.blocked,timings.connect,timings.receive,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:01:40.432+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1008,2248,,,5,107,2989,0,3033,5,493,52.4.34.154,,3646,
1,,2019-10-08T16:01:43.609+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-71c99cc9.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,524,61758,,,0,146,2465,0,2487,189,99,99.86.255.10,,2923,
2,,2019-10-08T16:01:43.609+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-29d23e06.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,291754,,,0,147,2469,0,2490,357,222,99.86.255.10,,3219,
3,,2019-10-08T16:01:43.609+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-3c552c7d.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,25462,,,0,147,2462,0,2492,106,103,99.86.255.10,,2850,
4,,2019-10-08T16:01:43.627+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-0e22125a.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,315052,,,1,146,2473,0,2504,424,160,99.86.255.10,,3236,
5,,2019-10-08T16:01:44.619+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570539704610,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,681,1206,,,1,-1,-1,-1,-1,0,558,52.4.34.154,,560,value
6,,2019-10-08T16:01:44.709+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/hamburger-menu.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,232,,,0,-1,-1,-1,-1,0,92,99.86.255.10,,93,
7,,2019-10-08T16:01:44.709+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,1333,,,0,-1,-1,-1,-1,1,92,99.86.255.10,,94,
8,,2019-10-08T16:01:44.711+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,956,,,0,-1,-1,-1,-1,0,90,99.86.255.10,,91,
9,,2019-10-08T16:01:44.714+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,2184,,,1,-1,-1,-1,-1,0,90,99.86.255.10,,92,
