,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T18:21:54.547+03:00,GET,https://twitter.com/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html;charset=utf-8,,,6203,14277,,,1603,52,0,39,248,1565,2,104.244.42.129,,1946,
1,,2019-10-08T18:21:54.858+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1148,2532,,,-1,2,-1,-1,214,-1,1,104.244.42.129,,218,value
2,,2019-10-08T18:21:56.436+03:00,GET,https://abs.twimg.com/a/1569889127/css/t1/twitter_core.bundle.css,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,577,35309,,,1577,74,0,16,98,1540,1,192.229.233.50,,1768,
3,,2019-10-08T18:21:56.442+03:00,GET,https://abs.twimg.com/a/1569889127/css/t1/twitter_more_1.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,43389,,,1582,87,0,15,89,1545,1,192.229.233.50,,1775,
4,,2019-10-08T18:21:56.456+03:00,GET,https://abs.twimg.com/a/1569889127/css/t1/twitter_more_2.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,38631,,,1596,80,0,18,91,1559,0,192.229.233.50,,1786,
5,,2019-10-08T18:21:56.457+03:00,GET,https://abs.twimg.com/k/en/init.en.eddc6164ff1a6d3d3560.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,607,180313,,,1597,228,0,21,88,1561,0,192.229.233.50,,1936,
6,,2019-10-08T18:21:56.459+03:00,GET,https://abs.twimg.com/k/en/0.commons.en.06a750caea28350212ee.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,608,249858,,,1599,317,0,16,96,1563,0,192.229.233.50,,2030,
7,,2019-10-08T18:21:56.806+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1148,2199,,,-1,1,-1,-1,211,-1,0,104.244.42.129,,213,value
8,,2019-10-08T18:21:56.996+03:00,GET,https://abs.twimg.com/k/en/7.pages_signup.en.6bfee475d9b7243c5db9.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,605,21560,,,-1,9,-1,-1,94,-1,0,192.229.233.50,,104,
9,,2019-10-08T18:21:57.109+03:00,GET,https://abs.twimg.com/a/1569889127/font/edge-icons-Regular.woff,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,application/font-woff,,,542,25892,,,280,38,0,0,91,245,0,192.229.233.50,,410,
10,,2019-10-08T18:21:59.736+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,2399,27,0,41,93,2367,0,172.217.22.110,,2563,
11,,2019-10-08T18:21:59.799+03:00,GET,https://analytics.twitter.com/tpm/p?_=1570548116896,HTTP/1.1,839,0,,200,OK,HTTP/1.1,0,application/json;charset=utf-8,,,591,139,,,2489,0,0,24,198,2463,1,104.244.42.3,,2713,value
12,,2019-10-08T18:21:59.881+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=1334031618&t=pageview&_s=1&dl=https%3A%2F%2Ftwitter.com%2F&dr=&dp=%2Fanon%2Ffront%2Ffront&ul=en-us&de=UTF-8&dt=REDACTED&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAQAB~&jid=1011931105&gjid=756730045&cid=1135698125.1570548120&tid=UA-30775-6&_gid=226096983.1570548120&_r=1&z=1011254640,HTTP/1.1,694,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-30775-6&cid=1135698125.1570548120&jid=1011931105&_gid=226096983.1570548120&gjid=756730045&_v=j79&z=1011254640,642,415,,,-1,0,-1,-1,116,-1,0,172.217.22.110,,118,value
13,,2019-10-08T18:22:00.007+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,988,4876,,200,OK,HTTP/1.1,0,,,,1043,0,,,-1,0,-1,-1,211,-1,0,104.244.42.129,,212,value
14,,2019-10-08T18:22:00.223+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,988,5087,,200,OK,HTTP/1.1,0,,,,1043,0,,,-1,0,-1,-1,214,-1,1,104.244.42.129,,216,value
15,,2019-10-08T18:22:01.434+03:00,GET,https://syndication.twitter.com/i/jot/syndication?l=%7B%22_category_%22%3A%22syndicated_impression%22%2C%22event_namespace%22%3A%7B%22client%22%3A%22web%22%2C%22page%22%3A%22front%22%2C%22action%22%3A%22impression%22%7D%2C%22triggered_on%22%3A1570548117288%7D,HTTP/1.1,1037,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,899,65,,,4135,1,0,0,223,4100,0,104.244.42.200,,4361,value
