,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:36:42.375+03:00,GET,https://twitter.com/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html;charset=utf-8,,,6203,14273,,,44,0,1515,26,272,3,1476,104.244.42.193,,1861,,
1,,2019-10-09T18:36:42.721+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1148,2075,,,1,-1,-1,-1,213,0,-1,104.244.42.193,,216,value,
2,,2019-10-09T18:36:44.533+03:00,GET,https://abs.twimg.com/a/1570227539/css/t1/twitter_core.bundle.css,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,578,35309,,,72,0,1786,28,127,1,1750,192.229.233.50,,2017,,
3,,2019-10-09T18:36:44.534+03:00,GET,https://abs.twimg.com/a/1570227539/css/t1/twitter_more_1.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,43389,,,77,0,1787,28,124,1,1751,192.229.233.50,,2019,,
4,,2019-10-09T18:36:44.545+03:00,GET,https://abs.twimg.com/a/1570227539/css/t1/twitter_more_2.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,38631,,,67,0,1798,22,124,0,1770,192.229.233.50,,2014,,
5,,2019-10-09T18:36:44.549+03:00,GET,https://abs.twimg.com/k/en/init.en.77c56452e473e94d573f.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,607,180312,,,219,0,1801,24,113,0,1774,192.229.233.50,,2158,,
6,,2019-10-09T18:36:44.566+03:00,GET,https://abs.twimg.com/k/en/0.commons.en.06a750caea28350212ee.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,608,249858,,,249,0,1818,23,112,0,1783,192.229.233.50,,2205,,
7,,2019-10-09T18:36:44.919+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1148,2056,,,3,-1,-1,-1,210,0,-1,104.244.42.193,,213,value,
8,,2019-10-09T18:36:45.099+03:00,GET,https://abs.twimg.com/k/en/7.pages_signup.en.6bfee475d9b7243c5db9.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,605,21560,,,11,-1,-1,-1,96,0,-1,192.229.233.50,,108,,
9,,2019-10-09T18:36:45.238+03:00,GET,https://abs.twimg.com/a/1570227539/font/edge-icons-Regular.woff,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,application/font-woff,,,542,25892,,,38,0,301,0,91,0,278,192.229.233.50,,431,,
10,,2019-10-09T18:36:46.741+03:00,GET,https://analytics.twitter.com/tpm/p?_=1570635404994,HTTP/1.1,839,0,,200,OK,HTTP/1.1,0,application/json;charset=utf-8,,,591,139,,,0,0,1305,38,224,1,1279,104.244.42.3,,1570,value,
11,,2019-10-09T18:36:48.046+03:00,GET,https://syndication.twitter.com/i/jot/syndication?l=%7B%22_category_%22%3A%22syndicated_impression%22%2C%22event_namespace%22%3A%7B%22client%22%3A%22web%22%2C%22page%22%3A%22front%22%2C%22action%22%3A%22impression%22%7D%2C%22triggered_on%22%3A1570635405400%7D,HTTP/1.1,1037,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,899,65,,,0,0,2633,0,253,1,2611,104.244.42.136,,2889,value,
12,,2019-10-09T18:36:48.658+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,914,5087,,200,OK,HTTP/1.1,0,,,,1043,0,,,0,-1,-1,-1,201,0,-1,104.244.42.193,,202,value,
13,,2019-10-09T18:36:48.706+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,32,0,3299,0,91,0,3271,172.217.22.110,,3424,,
14,,2019-10-09T18:36:48.865+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=4853966&t=pageview&_s=1&dl=https%3A%2F%2Ftwitter.com%2F&dr=&dp=%2Fanon%2Ffront%2Ffront&ul=en-us&de=UTF-8&dt=REDACTED&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAQAB~&jid=1102677087&gjid=1919461734&cid=66693469.1570635409&tid=UA-30775-6&_gid=1688797736.1570635409&_r=1&z=328586143,HTTP/1.1,690,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-30775-6&cid=66693469.1570635409&jid=1102677087&_gid=1688797736.1570635409&gjid=1919461734&_v=j79&z=328586143,641,414,,,1,-1,-1,-1,102,0,-1,172.217.22.110,,104,value,
15,,2019-10-09T18:36:48.982+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,987,4876,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,0,1,-1,104.244.42.193,,1,value,No response received
