,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T17:30:32.214+03:00,GET,https://lizardpoint.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,316,22363,,,0,140,7615,98,4,185,4569,209.95.52.192,,8045,
1,,2019-10-08T17:30:32.555+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/css/bootstrap.min.css,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/css,,,190,121200,,,-1,304,-1,-1,0,166,-1,209.95.52.192,,471,
2,,2019-10-08T17:30:32.755+03:00,GET,https://lizardpoint.com/shared/css/carousel.css,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,text/css,,,188,2586,,,0,2,300,0,1,164,258,209.95.52.192,,468,
3,,2019-10-08T17:30:32.756+03:00,GET,https://lizardpoint.com/shared/css/ie10-viewport-bug-workaround.css,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,text/css,,,187,433,,,0,2,297,0,1,163,256,209.95.52.192,,465,
4,,2019-10-08T17:30:32.763+03:00,GET,https://lizardpoint.com/shared/js/registration.js?,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,45240,,,0,263,305,0,0,160,272,209.95.52.192,,731,
5,,2019-10-08T17:30:32.770+03:00,GET,https://lizardpoint.com/images/new-logo-split-vert-alternate-140.png,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,image/png,,,190,85763,,,0,414,313,0,0,161,270,209.95.52.192,,890,
6,,2019-10-08T17:30:32.873+03:00,GET,https://lizardpoint.com/images/laptop500-2.jpg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/jpeg,,,191,59575,,,0,314,311,0,1,160,284,209.95.52.192,,788,
7,,2019-10-08T17:30:33.197+03:00,POST,https://lizardpoint.com/shared/php/get-session.php,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,252,5,,,-1,0,-1,-1,1,163,-1,209.95.52.192,,165,
8,,2019-10-08T17:30:33.357+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/js/bootstrap.min.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,37045,,,-1,131,-1,-1,0,165,-1,209.95.52.192,,298,
9,,2019-10-08T17:30:33.660+03:00,GET,https://lizardpoint.com/shared/js/ie10-viewport-bug-workaround.js,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,application/javascript,,,201,641,,,-1,0,-1,-1,0,163,-1,209.95.52.192,,164,
