,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.wait,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:16:17.475+03:00,GET,https://www.flixster.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,914,22632,,,125,1289,1680,4,0,1322,56,184.50.170.175,,3188,,
1,,2019-10-09T17:16:19.232+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/BoxOfficePage.js,HTTP/1.1,554,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1123,6862,,,-1,-1,107,1,-1,-1,0,184.50.170.175,,109,,
2,,2019-10-09T17:16:19.346+03:00,GET,https://www.flixster.com/static/fonts/proximanova-regular-webfont.woff2,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,913,22144,,,-1,-1,148,0,-1,-1,58,184.50.170.175,,208,,
3,,2019-10-09T17:16:19.392+03:00,GET,https://www.flixster.com/static/fonts/proximanova-semibold-webfont.woff2,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,913,21576,,,0,126,170,1,0,156,5,184.50.170.175,,334,,
4,,2019-10-09T17:16:19.410+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/_app.js,HTTP/1.1,545,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1125,24399,,,0,129,156,1,0,163,21,184.50.170.175,,342,,
5,,2019-10-09T17:16:19.413+03:00,GET,https://www.flixster.com/_next/static/runtime/webpack-3df6523e264ff2ac6548.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,976,738,,,0,139,133,1,0,172,3,184.50.170.175,,311,,
6,,2019-10-09T17:16:19.413+03:00,GET,https://www.flixster.com/_next/static/chunks/commons.586d48eef463613fcacf.js,HTTP/1.1,548,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1127,348718,,,0,140,170,1,0,174,275,184.50.170.175,,621,,
7,,2019-10-09T17:16:19.414+03:00,GET,https://www.flixster.com/_next/static/runtime/main-4948c83ba21cd5469cba.js,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1123,4918,,,0,140,137,1,0,177,11,184.50.170.175,,327,,
8,,2019-10-09T17:16:19.577+03:00,GET,https://www.flixster.com/static/logo/logo_Mobile.svg,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,953,206694,,,-1,-1,144,1,-1,-1,170,184.50.170.175,,316,,
9,,2019-10-09T17:16:19.587+03:00,GET,https://www.flixster.com/static/logo/logo_Desktop.svg,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,953,214320,,,-1,-1,160,1,-1,-1,220,184.50.170.175,,382,,
10,,2019-10-09T17:16:20.566+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/AtHomePage.js,HTTP/1.1,551,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,979,13244,,,-1,-1,131,0,-1,-1,0,184.50.170.175,,133,,
11,,2019-10-09T17:16:20.659+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/NewsPage.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,978,2035,,,-1,-1,120,0,-1,-1,0,184.50.170.175,,121,,
12,,2019-10-09T17:16:20.660+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/MoviePage.js,HTTP/1.1,550,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1125,33607,,,-1,-1,119,0,-1,-1,58,184.50.170.175,,178,,
13,,2019-10-09T17:16:20.660+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/LocationPage.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,978,7724,,,-1,-1,118,0,-1,-1,0,184.50.170.175,,119,,
14,,2019-10-09T17:16:20.663+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/TheatersPage.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,979,11942,,,-1,-1,140,0,-1,-1,0,184.50.170.175,,142,,
15,,2019-10-09T17:16:24.623+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15791706_p_v13_ay.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,38104,,,145,3888,132,4,0,3929,38,143.204.181.63,,4250,,
16,,2019-10-09T17:16:24.626+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p14624901_p_v13_ag.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,11575,,,141,3898,94,3,0,3942,9,143.204.181.63,,4191,,
17,,2019-10-09T17:16:24.628+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16240503_p_v13_ac.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36108,,,143,3888,113,4,0,3930,62,143.204.181.63,,4254,,
18,,2019-10-09T17:16:24.628+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16835712_p_v13_ad.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,39685,,,140,3893,103,3,0,3933,76,143.204.181.63,,4259,,
19,,2019-10-09T17:16:24.693+03:00,GET,https://assets.adobedtm.com/launch-EN93d99d56746548679c2c9d24f8bc7671.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,475,45340,,,27,4223,84,2,0,4250,82,212.55.188.52,,4447,,
20,,2019-10-09T17:16:24.694+03:00,GET,https://consent.truste.com/notice?domain=fandango.com&c=teconsent&js=bb&noticeType=bb,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript;charset=ISO-8859-1,,,555,87,,,93,4335,117,0,0,4359,0,13.224.132.73,,4571,value,
21,,2019-10-09T17:16:24.696+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17317566_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,44077,,,141,3990,113,0,0,4035,88,143.204.181.63,,4379,,
22,,2019-10-09T17:16:24.696+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16356852_p_v13_ax.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,40503,,,142,3992,134,0,0,4035,42,143.204.181.63,,4355,,
23,,2019-10-09T17:16:24.806+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15724355_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,9890,,,-1,-1,93,0,-1,-1,12,143.204.181.63,,106,,
24,,2019-10-09T17:16:24.808+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16624487_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,31556,,,-1,-1,100,0,-1,-1,62,143.204.181.63,,163,,
25,,2019-10-09T17:16:24.880+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16080020_p_v13_ba.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,32210,,,-1,-1,86,0,-1,-1,65,143.204.181.63,,152,,
26,,2019-10-09T17:16:24.882+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p13864403_p_v13_as.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,23404,,,-1,-1,84,0,-1,-1,46,143.204.181.63,,131,,
27,,2019-10-09T17:16:24.888+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15226139_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,32900,,,-1,-1,88,1,-1,-1,52,143.204.181.63,,142,,
28,,2019-10-09T17:16:24.904+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16762657_p_v13_ae.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,47417,,,-1,-1,84,0,-1,-1,60,143.204.181.63,,145,,
29,,2019-10-09T17:16:24.918+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p13946044_p_v7_aa.jpg,HTTP/1.1,626,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,21080,,,-1,-1,147,0,-1,-1,2,143.204.181.63,,150,,
30,,2019-10-09T17:16:24.953+03:00,GET,https://assets.adobedtm.com/extensions/EP6989456eab6f4f618b15e82840ffd69b/AppMeasurement.min.js,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,418,13098,,,-1,-1,48,0,-1,-1,0,212.55.188.52,,50,,
31,,2019-10-09T17:16:24.979+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17307828_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36035,,,-1,-1,115,0,-1,-1,32,143.204.181.63,,148,,
32,,2019-10-09T17:16:25.020+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17372301_p_v11_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,45045,,,-1,-1,82,0,-1,-1,58,143.204.181.63,,142,,
33,,2019-10-09T17:16:25.038+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17272055_p_v13_ac.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,44266,,,-1,-1,114,0,-1,-1,27,143.204.181.63,,142,,
34,,2019-10-09T17:16:25.058+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17162880_p_v13_ab.jpg,HTTP/1.1,716,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,37930,,,-1,-1,92,0,-1,-1,45,143.204.181.63,,138,,
35,,2019-10-09T17:16:25.058+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16965677_p_v13_ad.jpg,HTTP/1.1,716,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36943,,,-1,-1,100,0,-1,-1,24,143.204.181.63,,125,,
36,,2019-10-09T17:16:25.087+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17086236_p_v13_aa.jpg,HTTP/1.1,716,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36019,,,-1,-1,123,0,-1,-1,20,143.204.181.63,,143,,
37,,2019-10-09T17:16:25.138+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17388575_p_v13_ab.jpg,HTTP/1.1,716,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,37100,,,-1,-1,86,0,-1,-1,33,143.204.181.63,,121,,
