,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
22,,2019-10-09T17:20:44.296+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/spinnySmall.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,423,2812,,,1,-1,-1,0,88,-1,-1,213.186.33.107,,90,,
23,,2019-10-09T17:20:44.298+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelGradientRight.png,HTTP/1.1,497,0,,200,OK,HTTP/1.1,0,image/png,,,423,1003,,,0,-1,-1,0,93,-1,-1,213.186.33.107,,94,,
24,,2019-10-09T17:20:44.355+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelHorizontal.png?v=2,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,image/png,,,422,6718,,,1,-1,-1,0,91,-1,-1,213.186.33.107,,93,value,
25,,2019-10-09T17:20:44.402+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/prestigeBarCap.png,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,image/png,,,422,974,,,0,-1,-1,0,91,-1,-1,213.186.33.107,,92,,
26,,2019-10-09T17:20:44.423+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/empty.png,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,image/png,,,421,95,,,0,-1,-1,0,89,-1,-1,213.186.33.107,,90,,
27,,2019-10-09T17:20:44.453+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/prestigeBar.jpg,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/jpeg,,,430,633,,,0,-1,-1,0,129,-1,-1,213.186.33.107,,130,,
28,,2019-10-09T17:20:44.483+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/blackGradientSmallTop.png,HTTP/1.1,500,0,,200,OK,HTTP/1.1,0,image/png,,,422,971,,,0,-1,-1,0,92,-1,-1,213.186.33.107,,93,,
29,,2019-10-09T17:20:44.501+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/goldCookie.png,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,image/png,,,423,4099,,,0,-1,-1,0,94,-1,-1,213.186.33.107,,95,,
30,,2019-10-09T17:20:44.517+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/sparkles.jpg,HTTP/1.1,487,0,,200,OK,HTTP/1.1,0,image/jpeg,,,430,12474,,,3,-1,-1,0,351,-1,-1,213.186.33.107,,355,,
31,,2019-10-09T17:20:44.562+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelGradientBottom.png,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,image/png,,,423,1004,,,0,-1,-1,5,93,-1,-1,213.186.33.107,,98,,
