,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T16:46:47.723+03:00,GET,https://apod.nasa.gov/apod/astropix.html,HTTP/1.1,481,0,,200,OK,HTTP/1.1,0,text/html; charset=ISO-8859-1,,,269,4491,,,2,181,2146,1,2193,0,20,129.164.179.22,,2399,,
1,,2019-10-08T16:46:47.969+03:00,GET,https://apod.nasa.gov/apod/image/1910/SpritesHD_Vetter_1000.jpg,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,image/jpeg,,,329,253858,,,0,175,-1,-1,-1,-1,2735,129.164.179.22,,2911,,
2,,2019-10-08T16:46:49.746+03:00,GET,https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=NASA,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,application/javascript,,,594,5059,,,0,96,1558,204,1584,0,8,13.225.249.111,,1894,value,
3,,2019-10-08T16:46:50.665+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,92,752,1,776,0,33,216.58.206.14,,904,,
4,,2019-10-08T16:46:50.849+03:00,POST,https://www.google-analytics.com/r/collect,HTTP/1.1,450,598,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,216.58.206.14,,0,,No response received
