,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.dns,timings.send,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T16:37:49.506+03:00,GET,http://weavesilk.com/,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,text/html,,,338,23959,,,291,-1,136,4,126,31,0,52.216.20.42,,590,
1,,2019-10-08T16:37:50.019+03:00,GET,http://weavesilk.com/css/normalize.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,6874,,,292,-1,3,1,1,38,0,52.216.20.42,,337,
2,,2019-10-08T16:37:50.019+03:00,GET,http://weavesilk.com/css/font-awesome.css,HTTP/1.1,339,0,,200,OK,HTTP/1.1,0,text/css,,,337,21596,,,293,-1,3,1,133,38,0,52.216.20.42,,470,
3,,2019-10-08T16:37:50.021+03:00,GET,http://weavesilk.com/css/ss-social.css,HTTP/1.1,336,0,,200,OK,HTTP/1.1,0,text/css,,,336,4223,,,314,-1,1,1,0,30,0,52.216.20.42,,348,
4,,2019-10-08T16:37:50.021+03:00,GET,http://weavesilk.com/css/site.css,HTTP/1.1,331,0,,200,OK,HTTP/1.1,0,text/css,,,337,28760,,,298,-1,1,1,131,29,0,52.216.20.42,,462,
5,,2019-10-08T16:37:50.023+03:00,GET,http://weavesilk.com/js/jquery-1.8.1.min.js,HTTP/1.1,326,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,92791,,,276,-1,0,1,332,36,0,52.216.20.42,,648,
6,,2019-10-08T16:37:50.115+03:00,GET,http://weavesilk.com/js/jquery.fullscreen.js,HTTP/1.1,327,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,1439,,,392,-1,-1,0,0,-1,-1,52.216.20.42,,394,
7,,2019-10-08T16:37:50.355+03:00,GET,http://weavesilk.com/js/underscore.min.js,HTTP/1.1,324,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,13450,,,313,-1,-1,0,31,-1,-1,52.216.20.42,,346,
8,,2019-10-08T16:37:50.371+03:00,GET,http://weavesilk.com/js/knockout-2.2.0.min.js,HTTP/1.1,328,0,,200,OK,HTTP/1.1,0,text/javascript,,,376,40870,,,318,-1,-1,0,156,-1,-1,52.216.20.42,,475,
9,,2019-10-08T16:37:50.478+03:00,GET,http://weavesilk.com/js/d3.v3.min.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,377,137488,,,337,-1,-1,0,409,-1,-1,52.216.20.42,,747,
10,,2019-10-08T16:37:50.478+03:00,GET,http://weavesilk.com/js/keymaster.js,HTTP/1.1,319,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,7050,,,341,-1,-1,0,6,-1,-1,52.216.20.42,,348,
11,,2019-10-08T16:37:50.509+03:00,GET,http://weavesilk.com/js/noise.js,HTTP/1.1,315,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,8599,,,190,-1,-1,0,2,-1,-1,52.216.20.42,,194,
12,,2019-10-08T16:37:50.672+03:00,GET,http://weavesilk.com/js/detect.js,HTTP/1.1,316,0,,200,OK,HTTP/1.1,0,text/javascript,,,375,2930,,,512,-1,-1,0,0,-1,-1,52.216.20.42,,513,
