,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:49:59.351+03:00,GET,https://www.instagram.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2964,10026,,,0,366,2335,27,3,332,2297,157.240.1.174,,3064,
1,,2019-10-09T16:49:59.936+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerUICommons.css/faa312336eda.css,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,text/css,,,349,12722,,,0,324,148,0,1,98,115,157.240.1.174,,572,
2,,2019-10-09T16:49:59.948+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerAsyncCommons.css/a57df2c9ce33.css,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,text/css,,,348,2968,,,0,30,159,0,1,97,119,157.240.1.174,,288,
3,,2019-10-09T16:49:59.948+03:00,GET,https://www.instagram.com/static/bundles/metro/Consumer.css/53fcc8013b2c.css,HTTP/1.1,537,0,,200,OK,HTTP/1.1,0,text/css,,,349,12711,,,0,389,161,0,1,86,120,157.240.1.174,,638,
4,,2019-10-09T16:49:59.950+03:00,GET,https://www.instagram.com/static/bundles/metro/LandingPage.css/fcbab16f3f4c.css,HTTP/1.1,540,0,,200,OK,HTTP/1.1,0,text/css,,,348,3719,,,0,4,161,0,1,95,122,157.240.1.174,,261,
5,,2019-10-09T16:49:59.952+03:00,GET,https://www.instagram.com/static/bundles/metro/Vendor.js/59e340c75ebf.js,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,64524,,,0,204,163,0,0,93,120,157.240.1.174,,462,
6,,2019-10-09T16:50:00.055+03:00,GET,https://www.instagram.com/static/bundles/metro/en_US.js/474ca24cc8c4.js,HTTP/1.1,517,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,43305,,,-1,270,-1,-1,0,85,-1,157.240.1.174,,356,
7,,2019-10-09T16:50:00.060+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerLibCommons.js/ad0e8d75cc98.js,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,118900,,,-1,429,-1,-1,0,87,-1,157.240.1.174,,517,
8,,2019-10-09T16:50:00.089+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerUICommons.js/fc549fab6212.js,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,36473,,,-1,213,-1,-1,0,94,-1,157.240.1.174,,308,
9,,2019-10-09T16:50:00.256+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerAsyncCommons.js/6ce0632548fc.js,HTTP/1.1,532,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,23796,,,-1,274,-1,-1,0,89,-1,157.240.1.174,,365,
10,,2019-10-09T16:50:00.364+03:00,GET,https://www.instagram.com/static/bundles/metro/Consumer.js/5dda708823dc.js,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,104807,,,-1,305,-1,-1,0,100,-1,157.240.1.174,,406,
