,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.dns,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
27,,2019-10-11T17:35:29.513+03:00,GET,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=1955846671.1570804522&jid=1376771859&_v=j79&z=1905801886,HTTP/1.1,493,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=1955846671.1570804522&jid=1376771859&_v=j79&z=1905801886&slf_rd=1&random=2559427604,743,0,,,2408,0,0,118,0,2431,0,172.217.18.4,,2552,value
28,,2019-10-11T17:35:30.242+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,535,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1020,12382,,,3235,0,38,108,0,3269,4,31.13.92.14,,3422,value
29,,2019-10-11T17:35:32.577+03:00,GET,https://www.youtube.com/iframe_api,HTTP/1.1,353,0,,200,OK,HTTP/1.1,0,application/javascript,,,394,859,,,8130,0,37,118,0,8192,0,172.217.16.142,,8350,
30,,2019-10-11T17:35:32.765+03:00,GET,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=1955846671.1570804522&jid=1376771859&_v=j79&z=1905801886&slf_rd=1&random=2559427604,HTTP/1.1,522,0,,200,OK,HTTP/1.1,0,image/gif,,,547,42,,,3071,0,27,103,0,3099,1,216.58.206.3,,3233,value
31,,2019-10-11T17:35:33.726+03:00,GET,https://s.ytimg.com/yts/jsbin/www-widgetapi-vflLte76q/www-widgetapi.js,HTTP/1.1,389,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,8697,,,970,0,20,107,0,1000,10,172.217.18.174,,1140,
32,,2019-10-11T17:35:33.877+03:00,GET,https://www.youtube.com/embed/eMdLqaeWP-k?enablejsapi=1&origin=https%3A%2F%2Fwww.incredibox.com&widgetid=1,HTTP/1.1,578,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20378,,,-1,2,-1,233,-1,-1,78,172.217.16.142,,314,value
33,,2019-10-11T17:35:34.196+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflE8GS0-.css,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/css,,,561,41451,,,-1,0,-1,84,-1,-1,63,172.217.16.142,,148,
34,,2019-10-11T17:35:34.329+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl7dFGHt/www-embed-player.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,39029,,,132,2,0,102,0,159,85,172.217.16.142,,350,
35,,2019-10-11T17:35:34.330+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/base.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393529,,,127,1,0,94,0,160,425,172.217.16.142,,682,
36,,2019-10-11T17:35:34.924+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5323,,,-1,0,-1,88,-1,-1,2,172.217.18.4,,91,
37,,2019-10-11T17:35:34.982+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/remote.js,HTTP/1.1,551,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,30003,,,-1,0,-1,99,-1,-1,11,172.217.16.142,,110,
38,,2019-10-11T17:35:35.186+03:00,GET,https://www.youtube.com/generate_204?hef6VQ,HTTP/1.1,560,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,-1,88,-1,-1,0,172.217.16.142,,89,value
39,,2019-10-11T17:35:38.199+03:00,GET,https://i.ytimg.com/vi/eMdLqaeWP-k/maxresdefault.jpg,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,image/jpeg,,,456,111026,,,3077,0,35,110,0,3125,155,172.217.18.118,,3426,
40,,2019-10-11T17:35:38.525+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,497,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15552,,,3389,0,51,104,0,3408,28,172.217.16.131,,3593,
41,,2019-10-11T17:35:38.545+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15344,,,3409,0,51,88,0,3428,31,172.217.16.131,,3600,
42,,2019-10-11T17:35:39.150+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,4166,0,29,99,0,4195,0,172.217.16.134,,4325,
43,,2019-10-11T17:35:40.205+03:00,GET,https://yt3.ggpht.com/-sfbG8ukMi74/AAAAAAAAAAI/AAAAAAAAAAA/VBusKjuvOHY/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,541,0,,200,OK,HTTP/1.1,0,image/jpeg,,,575,2154,,,5083,0,37,102,0,5130,1,216.58.207.65,,5272,
