,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T17:45:31.329+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,948,2246,,,0,18,2400,2,230,2356,139,34.232.139.182,,2792,
1,,2019-10-11T17:45:33.317+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-f054f04e.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,523,61699,,,0,127,1607,1,132,1560,97,99.86.255.50,,1966,
2,,2019-10-11T17:45:33.319+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-76cee218.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,292564,,,0,316,1609,0,111,1562,96,99.86.255.50,,2134,
3,,2019-10-11T17:45:33.333+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-7a122bdf.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,537,25480,,,0,68,1623,0,101,1576,97,99.86.255.50,,1891,
4,,2019-10-11T17:45:33.334+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-8308ac72.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,314477,,,0,294,1624,0,101,1585,96,99.86.255.50,,2117,
5,,2019-10-11T17:45:34.052+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570805134045,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,621,1206,,,-1,0,-1,1,172,-1,-1,34.232.139.182,,174,value
6,,2019-10-11T17:45:34.111+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,1333,,,-1,2,-1,0,108,-1,-1,99.86.255.50,,111,
7,,2019-10-11T17:45:34.112+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,956,,,-1,1,-1,0,110,-1,-1,99.86.255.50,,112,
8,,2019-10-11T17:45:34.114+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,2184,,,-1,3,-1,0,108,-1,-1,99.86.255.50,,112,
9,,2019-10-11T17:45:34.115+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,249,,,-1,0,-1,0,109,-1,-1,99.86.255.50,,110,
