,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T14:35:24.479+03:00,GET,http://ww7.good-v-evil.com/,HTTP/1.1,429,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,402,4028,,,3,263,-1,144,16,45,0,199.59.242.152,,472,
1,,2019-10-12T14:35:25.018+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=1&rn=2.4604535353493047,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,4,164,-1,-1,5,-1,-1,199.59.242.152,,174,value
2,,2019-10-12T14:35:25.018+03:00,GET,http://www.google.com/adsense/domains/caf.js,HTTP/1.1,334,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,375,56272,,,0,193,-1,0,119,28,0,172.217.18.4,,343,
3,,2019-10-12T14:35:25.025+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=2&rn=2.4604535353493047,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,0,263,-1,1,2,29,0,199.59.242.152,,298,value
