,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T09:05:42.822+03:00,GET,http://dontevenreply.com/,HTTP/1.1,638,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,260,13590,,,0,375,-1,-1,24,118,-1,64.22.68.51,,519,,
1,,2019-10-08T09:05:43.356+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsscl3wHcMXsVVOoUX_WeXXt1t0BngZ2OTqbphy-EAfmEu7aOatk0BhTyP_91WGS2RiQ1kinUNaSoUsrdqhHIZ-xLLCJSXBgUa6Ln4dvbwWHbwEbzsg&sai=AMfl-YTziJggbDc6hZSvB7KBRd5EUz5VULUDq8KiVMm5g5S6W5TZSSP78UcAq_dbsmxrAyKOqCCcof-QozIa&sig=Cg0ArKJSzPbsX0aV-fB6EAE&adk=3587341384&tt=434&bs=779%2C579&mtos=0,0,12159,12159,12159&tos=0,0,12159,0,0&p=164,8,764,168&mcvt=12159&rs=1&ht=0&tfs=164&tls=12323&mc=0.69&lte=0.69&bas=0&bac=0&met=no&avms=nio&niot_obs=30&niot_cbk=66&md=2&lm=2&rst=1570514720104&dlt=5927&rpt=10921&isd=0&msd=0&oseid=3&xdi=0&xosd=1&ps=779%2C17109&ss=800%2C600&pt=11891&bin=1&deb=1-2-2-159-117-42-472-115-0-0-0&tvt=12304&r=u&id=osdtos&vs=4&za=1-1-0&uc=117&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=160x600&itpl=14&v=20191004",HTTP/1.1,1993,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,1,173,-1,-1,0,-1,-1,172.217.23.130,,175,value,
2,,2019-10-08T09:05:43.365+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsv6Y6qhdvESsrf7UtyFyQtBkPJMAnFlxcueSe0cJPPzVuodftWXKOXgzbQiHHnO-CDmdZD6CPRW4TtWL4pW6om9elMDpaGtUxGO6h8ARqgJRwYg4Rk&sai=AMfl-YRVSJsod62EI6FDRT4peehbADvZWiYiaTFQE-huCUIai6jllKi1IZrP3t8hZAbgGBQAE9GM_nA9i-My&sig=Cg0ArKJSzBjo1Jc8cBW7EAE&adk=3587341384&tt=434&bs=779%2C579&mtos=0,0,0,0,0&tos=0,0,0,0,0&p=768,8,1368,168&mcvt=0&rs=1&ht=0&mc=-1&lte=-2&bas=0&bac=0&met=no&avms=nio&niot_obs=31&niot_cbk=66&lm=4&rst=1570514720184&isd=0&oseid=3&xdi=0&xosd=1&ps=779%2C17109&ss=800%2C600&pt=11891&bin=1&deb=1-2-2-159-117-42-472-115-0-0-0&tvt=12304&r=u&id=osdtos&vs=4&za=0-1-0&uc=230&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=160x600&itpl=14&v=20191004",HTTP/1.1,1950,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,1,164,-1,-1,0,-1,-1,172.217.23.130,,166,value,
3,,2019-10-08T09:05:43.406+03:00,GET,http://www.lijit.com/wijitinit?uri=http%3A%2F%2Fwww.lijit.com%2Fusers%2Fdontevenreply&js=1,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/json,,,158,-1,,,4,457,0,-1,188,132,0,76.223.8.20,,783,value,
4,,2019-10-08T09:05:43.431+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=dontevenreply.com,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,293,-1,-1,0,-1,-1,172.217.21.226,,294,value,
5,,2019-10-08T09:05:43.431+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=dontevenreply.com,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,178,-1,-1,1,-1,-1,172.217.21.226,,180,value,
6,,2019-10-08T09:05:43.550+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,645,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,0,174,-1,-1,3,-1,-1,172.217.21.226,,178,,
7,,2019-10-08T09:05:43.620+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-7920775573349677&output=html&h=600&slotname=0198369539&adk=3587341384&adf=3671303198&w=160&lmt=1570514743&guci=2.2.0.0.2.2.0.0&url=http%3A%2F%2Fdontevenreply.com%2F&flash=0&wgl=1&dt=1570514743419&bpp=114&bdt=42&fdt=120&idt=125&shv=r20191003&cbv=r20190131&saldr=sa&abxe=1&correlator=2835456482206&frm=20&pv=2&ga_vid=1976411976.1570514719&ga_sid=1570514719&ga_hid=1222294354&ga_fc=1&iag=0&icsg=42&dssz=4&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=8&ady=164&biw=779&bih=579&scr_x=0&scr_y=0&eid=332260032%2C332260042&oid=3&pvsid=2859129729873710&pem=992&rx=0&eae=0&fc=656&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=d%7C%7CeE%7Cn&abl=XS&pfx=0&fu=1040&bc=23&ifi=1&uci=1.ve2ac15ao36k&xpc=TEsMWmrOqd&p=http%3A//dontevenreply.com&dtd=182,HTTP/1.1,1433,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,751,19936,,,1,513,-1,-1,42,-1,-1,172.217.21.226,,557,value,
8,,2019-10-08T09:05:43.736+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-7920775573349677&output=html&h=600&slotname=0198369539&adk=3587341384&adf=4223216115&w=160&lmt=1570514743&guci=2.2.0.0.2.2.0.0&url=http%3A%2F%2Fdontevenreply.com%2F&flash=0&wgl=1&dt=1570514743636&bpp=18&bdt=258&fdt=22&idt=27&shv=r20191003&cbv=r20190131&saldr=sa&abxe=1&prev_slotnames=0198369539&correlator=2835456482206&frm=20&pv=1&ga_vid=1976411976.1570514719&ga_sid=1570514719&ga_hid=1222294354&ga_fc=1&iag=0&icsg=682&dssz=7&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=8&ady=768&biw=779&bih=579&scr_x=0&scr_y=0&eid=332260032%2C332260042&oid=3&pvsid=2859129729873710&pem=992&rx=0&eae=0&fc=656&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=d%7C%7CeEbr%7Cn&abl=XS&pfx=0&fu=1040&bc=23&ifi=2&uci=2.52y359y8wzp&xpc=XwcIz6FARl&p=http%3A//dontevenreply.com&dtd=36,HTTP/1.1,1458,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,751,20076,,,1,425,-1,-1,23,-1,-1,172.217.21.226,,450,value,
9,,2019-10-08T09:05:44.028+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,418,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,0,313,-1,-1,39,-1,-1,172.217.22.110,,353,,
