,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.dns,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-09-28T18:55:52.836+03:00,POST,https://collector-pxasqjfz9w.perimeterx.net/api/v2/collector/beacon,HTTP/1.1,541,438,,200,OK,HTTP/1.1,0,,,,396,0,,,0,-1,-1,80,-1,-1,0,35.190.10.112,,81,
1,,2019-09-28T18:55:52.846+03:00,GET,https://www.duolingo.com/,HTTP/1.1,1288,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,951,2248,,,0,-1,-1,231,-1,-1,0,52.4.34.154,,232,
2,,2019-09-28T18:55:53.107+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-71c99cc9.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,521,61758,,,205,-1,-1,85,-1,-1,0,13.32.222.73,,291,
3,,2019-09-28T18:55:53.110+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-29d23e06.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,536,291754,,,276,-1,-1,100,-1,-1,0,13.32.222.73,,377,
4,,2019-09-28T18:55:53.110+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-3c552c7d.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,535,25462,,,185,-1,-1,123,-1,-1,0,13.32.222.73,,309,
5,,2019-09-28T18:55:53.110+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-0e22125a.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,535,315052,,,717,-1,-1,119,-1,-1,0,13.32.222.73,,837,
6,,2019-09-28T18:55:54.042+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-TX6Z97C,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,597,22029,,,116,-1,-1,73,-1,-1,0,172.217.18.104,,190,value
7,,2019-09-28T18:55:54.195+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,804,,200,OK,HTTP/1.1,0,,,,358,34,,,0,-1,-1,287,-1,-1,0,52.73.238.209,,288,
8,,2019-09-28T18:55:54.201+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1569686154194,HTTP/1.1,1220,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1203,,,1,-1,-1,172,-1,-1,0,52.4.34.154,,174,value
9,,2019-09-28T18:55:54.203+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,1315,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1159,2,,,0,-1,-1,206,-1,-1,0,52.4.34.154,,207,
