,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.ssl,timings.send,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-11T13:20:30.475+03:00,GET,https://thisissand.com/dist/7d1cb99317f654a8c6b7723f3ff15084.jpg,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/jpeg,,,239,547362,,,-1,232,-1,-1,1,209,-1,198.58.116.172,,442,
11,,2019-10-11T13:20:30.476+03:00,GET,https://thisissand.com/dist/8e2d6d389bedb4ae73631ddbcdab9c33.png,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/png,,,238,634581,,,-1,745,-1,-1,1,380,-1,198.58.116.172,,1127,
12,,2019-10-11T13:20:30.820+03:00,GET,https://thisissand.com/dist/ff56f4e71bb98dcb3d33f6e529b5275f.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,24008,,,-1,3,-1,-1,5,378,-1,198.58.116.172,,386,
13,,2019-10-11T13:20:30.820+03:00,GET,https://thisissand.com/dist/a44bc33777315bb6d29a623b3125de62.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,23728,,,0,2,611,580,1,379,0,198.58.116.172,,995,
14,,2019-10-11T13:20:33.357+03:00,GET,https://api.thisissand.com/v2/pieces?filterGte[createdAt]=2019-10-11T00:00:00.000Z&filterLte[createdAt]=2019-10-11T23:59:59.999Z&itemsPerPage=18&orderBy=popularity&orderDir=desc,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,application/json,,,561,7041,,,0,1,2428,2406,0,250,67,198.58.116.172,,2749,value
15,,2019-10-11T13:20:34.093+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,540,17803,,,0,29,3787,3761,0,100,0,216.58.206.14,,3919,
16,,2019-10-11T13:20:34.248+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1840979694&t=pageview&_s=1&dl=https%3A%2F%2Fthisissand.com%2F&ul=en-us&de=UTF-8&dt=Thisissand&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAAAB~&jid=717742142&gjid=1249939227&cid=1287582078.1570789234&tid=UA-8120964-1&_gid=1446534018.1570789234&_r=1&z=1699001433,HTTP/1.1,668,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,0,-1,-1,0,121,-1,216.58.206.14,,123,value
17,,2019-10-11T13:20:35.087+03:00,GET,https://gc.cdn.thisissand.com/thumb/9625088/140,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,image/jpeg,,,761,7935,,,0,318,1385,1366,0,283,56,35.244.148.69,,2045,
18,,2019-10-11T13:20:35.090+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624840/140,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,image/jpeg,,,763,11853,,,0,728,1388,1360,0,283,56,35.244.148.69,,2458,
19,,2019-10-11T13:20:35.094+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624868/140,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,image/jpeg,,,761,4436,,,0,111,1391,1364,1,267,57,35.244.148.69,,1828,
20,,2019-10-11T13:20:35.099+03:00,GET,https://gc.cdn.thisissand.com/thumb/9625086/140,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,image/jpeg,,,761,4701,,,0,109,1397,1378,0,264,56,35.244.148.69,,1829,
21,,2019-10-11T13:20:35.105+03:00,GET,https://gc.cdn.thisissand.com/thumb/9625067/140,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,image/jpeg,,,764,8137,,,0,369,1401,1375,0,148,61,35.244.148.69,,1982,
22,,2019-10-11T13:20:35.107+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624609/140,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,image/jpeg,,,761,6188,,,0,239,1406,1378,0,264,56,35.244.148.69,,1967,
23,,2019-10-11T13:20:35.483+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624896/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,761,4104,,,-1,230,-1,-1,1,313,-1,35.244.148.69,,546,
24,,2019-10-11T13:20:35.485+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624612/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,763,14181,,,-1,951,-1,-1,1,264,-1,35.244.148.69,,1218,
25,,2019-10-11T13:20:35.619+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624902/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,761,8224,,,-1,589,-1,-1,1,282,-1,35.244.148.69,,873,
26,,2019-10-11T13:20:35.632+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624757/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,764,4671,,,-1,253,-1,-1,1,216,-1,35.244.148.69,,471,
27,,2019-10-11T13:20:35.699+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624910/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,761,5484,,,-1,348,-1,-1,1,331,-1,35.244.148.69,,681,
28,,2019-10-11T13:20:36.043+03:00,GET,https://gc.cdn.thisissand.com/thumb/9625065/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,764,7148,,,-1,523,-1,-1,1,209,-1,35.244.148.69,,734,
29,,2019-10-11T13:20:36.108+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624961/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,764,5820,,,-1,491,-1,-1,0,223,-1,35.244.148.69,,715,
30,,2019-10-11T13:20:36.109+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624986/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,761,4687,,,-1,273,-1,-1,0,332,-1,35.244.148.69,,606,
31,,2019-10-11T13:20:36.387+03:00,GET,https://gc.cdn.thisissand.com/thumb/9625087/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,763,12817,,,-1,1409,-1,-1,1,335,-1,35.244.148.69,,1746,
32,,2019-10-11T13:20:36.501+03:00,GET,https://gc.cdn.thisissand.com/thumb/9625123/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,761,8684,,,-1,851,-1,-1,1,367,-1,35.244.148.69,,1220,
33,,2019-10-11T13:20:36.712+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624951/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,763,6847,,,-1,728,-1,-1,1,307,-1,35.244.148.69,,1038,
34,,2019-10-11T13:20:36.727+03:00,GET,https://gc.cdn.thisissand.com/thumb/9624726/140,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,766,12250,,,-1,1523,-1,-1,1,270,-1,35.244.148.69,,1795,
