,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.wait,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:15:37.429+03:00,GET,https://www.instagram.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2963,9996,,,30,1666,327,2,1707,349,0,157.240.1.174,,2417,
1,,2019-10-09T17:15:38.017+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerAsyncCommons.css/a57df2c9ce33.css,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,text/css,,,348,2968,,,0,125,106,2,168,40,0,157.240.1.174,,318,
2,,2019-10-09T17:15:38.017+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerUICommons.css/faa312336eda.css,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,text/css,,,349,12722,,,0,124,106,3,167,124,0,157.240.1.174,,401,
3,,2019-10-09T17:15:38.021+03:00,GET,https://www.instagram.com/static/bundles/metro/Consumer.css/53fcc8013b2c.css,HTTP/1.1,537,0,,200,OK,HTTP/1.1,0,text/css,,,349,12711,,,0,132,116,1,177,396,0,157.240.1.174,,691,
4,,2019-10-09T17:15:38.022+03:00,GET,https://www.instagram.com/static/bundles/metro/LandingPage.css/fcbab16f3f4c.css,HTTP/1.1,540,0,,200,OK,HTTP/1.1,0,text/css,,,348,3719,,,0,133,117,0,178,27,0,157.240.1.174,,323,
5,,2019-10-09T17:15:38.024+03:00,GET,https://www.instagram.com/static/bundles/metro/Vendor.js/59e340c75ebf.js,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,64524,,,0,136,88,0,181,252,0,157.240.1.174,,522,
6,,2019-10-09T17:15:38.127+03:00,GET,https://www.instagram.com/static/bundles/metro/en_US.js/474ca24cc8c4.js,HTTP/1.1,517,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,43305,,,-1,-1,91,2,-1,227,-1,157.240.1.174,,320,
7,,2019-10-09T17:15:38.173+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerLibCommons.js/ad0e8d75cc98.js,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,118900,,,-1,-1,90,1,-1,388,-1,157.240.1.174,,480,
8,,2019-10-09T17:15:38.174+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerUICommons.js/fc549fab6212.js,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,36473,,,-1,-1,89,0,-1,147,-1,157.240.1.174,,237,
9,,2019-10-09T17:15:38.263+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerAsyncCommons.js/6ce0632548fc.js,HTTP/1.1,532,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,23796,,,-1,-1,94,1,-1,753,-1,157.240.1.174,,848,
10,,2019-10-09T17:15:38.398+03:00,GET,https://www.instagram.com/static/bundles/metro/Consumer.js/5dda708823dc.js,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,104807,,,-1,-1,93,0,-1,379,-1,157.240.1.174,,473,
11,,2019-10-09T17:15:38.414+03:00,GET,https://www.instagram.com/static/bundles/metro/LandingPage.js/0133848fb6ad.js,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,28874,,,-1,-1,88,0,-1,1067,-1,157.240.1.174,,1156,
12,,2019-10-09T17:15:38.452+03:00,GET,https://www.instagram.com/static/bundles/metro/Polyfills.js/33e6af7a86cf.js,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,12081,,,-1,-1,90,0,-1,15,-1,157.240.1.174,,106,
13,,2019-10-09T17:15:38.542+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.js/30df47b0398d.js,HTTP/1.1,593,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,107785,,,-1,-1,109,1,-1,373,-1,157.240.1.174,,484,
14,,2019-10-09T17:15:38.564+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.css/a9197db45b1a.css,HTTP/1.1,595,0,,200,OK,HTTP/1.1,0,text/css,,,349,16126,,,-1,-1,88,0,-1,639,-1,157.240.1.174,,728,
15,,2019-10-09T17:15:39.655+03:00,POST,https://www.instagram.com/qp/batch_fetch_web/,HTTP/1.1,725,5193,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,2191,93,,,-1,-1,356,1,-1,0,-1,157.240.1.174,,358,
16,,2019-10-09T17:15:39.668+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot1.jpg/d6bf0c928b5a.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,41581,,,-1,-1,84,0,-1,289,-1,157.240.1.174,,374,
