,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.ssl,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-09-28T18:52:24.495+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,441,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/?__r=1.e2a45e71115c77c88413f1bbee1f4c60,412,116,,,6,0,107,4,-1,120,18,213.186.33.107,,255,,
1,,2019-09-28T18:52:24.771+03:00,GET,http://orteil.dashnet.org/cookieclicker/?__r=1.e2a45e71115c77c88413f1bbee1f4c60,HTTP/1.1,480,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/,445,116,,,1,0,103,1,-1,106,1,213.186.33.107,,213,value,
2,,2019-09-28T18:52:24.992+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,text/html,,,352,3926,,,27,-1,-1,2,-1,108,-1,213.186.33.107,,137,,
3,,2019-09-28T18:52:25.135+03:00,GET,http://orteil.dashnet.org/cookieclicker/showads.js,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,application/javascript,,,482,198,,,0,-1,-1,0,-1,108,-1,213.186.33.107,,109,,
4,,2019-09-28T18:52:25.138+03:00,GET,http://orteil.dashnet.org/cookieclicker/base64.js,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/javascript,,,482,931,,,1,-1,-1,0,-1,103,-1,213.186.33.107,,105,,
5,,2019-09-28T18:52:25.148+03:00,GET,http://orteil.dashnet.org/cookieclicker/main.js?v=2.058,HTTP/1.1,433,0,,200,OK,HTTP/1.1,0,application/javascript,,,485,197252,,,814,0,96,1,-1,120,0,213.186.33.107,,1032,value,
6,,2019-09-28T18:52:25.148+03:00,GET,http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,537,36220,,,170,0,77,0,-1,86,18,172.217.23.162,,354,,
7,,2019-09-28T18:52:25.158+03:00,GET,http://orteil.dashnet.org/cookieclicker/style.css?v=2.050,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,text/css,,,470,12239,,,20,0,97,0,-1,204,0,213.186.33.107,,322,value,
8,,2019-09-28T18:52:27.801+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,692,1726,,,1,0,2587,2,2495,95,19,104.19.197.151,,2706,,
9,,2019-09-28T18:52:28.426+03:00,GET,"https://fonts.googleapis.com/css?family=Merriweather:900&subset=latin,latin-ext",HTTP/1.1,426,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,630,431,,,2,0,3214,0,3124,78,19,216.58.207.74,,3315,value,
10,,2019-09-28T18:52:28.601+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/darkNoise.jpg,HTTP/1.1,488,0,,200,OK,HTTP/1.1,0,image/jpeg,,,424,54212,,,24,-1,-1,0,-1,118,-1,213.186.33.107,,143,,
11,,2019-09-28T18:52:28.603+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/darkNoiseTopBar.jpg,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,image/jpeg,,,424,8525,,,20,-1,-1,2,-1,101,-1,213.186.33.107,,124,,
12,,2019-09-28T18:52:28.603+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/discord.png,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,image/png,,,423,2357,,,1,-1,-1,0,-1,122,-1,213.186.33.107,,123,,
