,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T17:38:59.373+03:00,GET,https://www.youtube.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,985,41658,,,2,8,139,3845,3893,422,0,172.217.22.46,,4466,,
1,,2019-10-08T17:38:59.759+03:00,GET,https://www.youtube.com/yts/cssbin/www-main-desktop-home-page-skeleton-webp-vflFdVBW1.css,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/css,,,562,1308,,,2,0,91,112,160,5,0,172.217.22.46,,260,,
2,,2019-10-08T17:38:59.867+03:00,GET,https://www.youtube.com/yts/cssbin/www-onepick-webp-vflsYL2Tr.css,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/css,,,559,329,,,1,-1,83,-1,-1,1,-1,172.217.22.46,,86,,
3,,2019-10-08T17:38:59.955+03:00,GET,https://www.youtube.com/yts/jsbin/web-animations-next-lite.min-vflluX5aW/web-animations-next-lite.min.js,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,15742,,,0,-1,87,-1,-1,36,-1,172.217.22.46,,124,,
4,,2019-10-08T17:38:59.960+03:00,GET,https://www.youtube.com/yts/jsbin/custom-elements-es5-adapter-vflsrwHZH/custom-elements-es5-adapter.js,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,814,,,0,-1,92,-1,-1,0,-1,172.217.22.46,,94,,
5,,2019-10-08T17:39:00.060+03:00,GET,https://www.youtube.com/yts/jsbin/webcomponents-sd-vflsdda5l/webcomponents-sd.js,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,21439,,,0,-1,94,-1,-1,59,-1,172.217.22.46,,154,,
6,,2019-10-08T17:39:00.081+03:00,GET,https://www.youtube.com/yts/htmlbin/desktop_polymer_v2-vflGIbXVl.html,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,text/html,,,616,341196,,,0,-1,104,-1,-1,215,-1,172.217.22.46,,320,,
7,,2019-10-08T17:39:00.232+03:00,GET,https://www.youtube.com/yts/jsbin/scheduler-vflhRKj4U/scheduler.js,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,2595,,,0,-1,111,-1,-1,2,-1,172.217.22.46,,115,,
8,,2019-10-08T17:39:00.350+03:00,GET,https://www.youtube.com/yts/jsbin/www-tampering-vflEgtWpA/www-tampering.js,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,3635,,,0,-1,110,-1,-1,1,-1,172.217.22.46,,112,,
9,,2019-10-08T17:39:00.411+03:00,GET,https://www.youtube.com/yts/jsbin/www-prepopulator-vfl8hLntF/www-prepopulator.js,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,564,321,,,0,-1,98,-1,-1,0,-1,172.217.22.46,,99,,
