,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.ssl,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T13:14:49.898+03:00,GET,http://www.staggeringbeauty.com/,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,text/html,,,302,1193,,,62,0,21,-1,470,12,209,75.119.198.160,,777,,
1,,2019-10-11T13:14:50.744+03:00,GET,http://www.staggeringbeauty.com/lib/paper.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,289,57150,,,-1,-1,443,-1,264,4,-1,75.119.198.160,,712,,
2,,2019-10-11T13:14:50.754+03:00,GET,http://www.staggeringbeauty.com/src/style.css,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/css,,,300,885,,,35,0,3,-1,436,1,1,75.119.198.160,,478,,
3,,2019-10-11T13:14:50.754+03:00,GET,http://www.staggeringbeauty.com/lib/traer.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,3363,,,26,0,3,-1,452,1,1,75.119.198.160,,485,,
4,,2019-10-11T13:14:50.754+03:00,GET,http://www.staggeringbeauty.com/lib/soundmanager2-nodebug-jsmin.js,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript,,,317,11718,,,26,0,6,-1,443,0,1,75.119.198.160,,479,,
5,,2019-10-11T13:14:50.754+03:00,GET,http://www.staggeringbeauty.com/src/jiggler.js,HTTP/1.1,351,0,,200,OK,HTTP/1.1,0,application/javascript,,,314,353,,,33,0,1,-1,452,1,2,75.119.198.160,,490,,
6,,2019-10-11T13:14:50.755+03:00,GET,http://www.staggeringbeauty.com/lib/Tween.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,2096,,,32,0,2,-1,445,1,2,75.119.198.160,,483,,
7,,2019-10-11T13:14:53.931+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,337,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,2146,0,30,2112,112,1,34,216.58.206.14,,2326,,
8,,2019-10-11T13:14:54.122+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1711783872&utmhn=www.staggeringbeauty.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Staggering%20Beauty&utmhid=298945345&utmr=-&utmp=%2F&utmht=1570788894111&utmac=UA-353220-16&utmcc=__utma%3D133079244.158973810.1570788894.1570788894.1570788894.1%3B%2B__utmz%3D133079244.1570788894.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=390603289&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,851,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,1,-1,106,1,-1,216.58.206.14,,108,value,
9,,2019-10-11T13:14:54.255+03:00,GET,http://www.staggeringbeauty.com/src/main.js,HTTP/1.1,560,0,,0,,unknown,0,,,,-1,-1,,,37,-1,0,-1,0,0,-1,75.119.198.160,,38,,No response received
