,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.ssl,timings.dns,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:19:59.110+03:00,GET,http://www.staggeringbeauty.com/,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,text/html,,,302,1193,,,0,57,20,-1,3,410,7,75.119.198.160,,500,
1,,2019-10-09T17:19:59.665+03:00,GET,http://www.staggeringbeauty.com/lib/paper.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,289,57150,,,-1,-1,421,-1,-1,256,6,75.119.198.160,,685,
2,,2019-10-09T17:19:59.676+03:00,GET,http://www.staggeringbeauty.com/lib/Tween.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,350,2096,,,0,32,2,-1,2,43,1,75.119.198.160,,84,
3,,2019-10-09T17:19:59.676+03:00,GET,http://www.staggeringbeauty.com/lib/traer.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,350,3363,,,0,32,11,-1,2,32,2,75.119.198.160,,82,
4,,2019-10-09T17:19:59.676+03:00,GET,http://www.staggeringbeauty.com/src/jiggler.js,HTTP/1.1,351,0,,200,OK,HTTP/1.1,0,application/javascript,,,348,353,,,0,32,0,-1,2,45,1,75.119.198.160,,83,
5,,2019-10-09T17:19:59.678+03:00,GET,http://www.staggeringbeauty.com/src/style.css,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/css,,,334,885,,,0,30,0,-1,3,32,1,75.119.198.160,,69,
6,,2019-10-09T17:19:59.678+03:00,GET,http://www.staggeringbeauty.com/lib/soundmanager2-nodebug-jsmin.js,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript,,,351,11718,,,0,31,2,-1,1,43,2,75.119.198.160,,81,
7,,2019-10-09T17:20:02.334+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,337,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,0,1809,44,1778,0,100,1,216.58.206.14,,1956,
8,,2019-10-09T17:20:02.530+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=817755215&utmhn=www.staggeringbeauty.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Staggering%20Beauty&utmhid=1675134928&utmr=-&utmp=%2F&utmht=1570630802518&utmac=UA-353220-16&utmcc=__utma%3D133079244.183744908.1570630802.1570630802.1570630802.1%3B%2B__utmz%3D133079244.1570630802.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1957980989&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,852,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,1,-1,-1,95,1,216.58.206.14,,97,value
9,,2019-10-09T17:20:02.652+03:00,GET,http://www.staggeringbeauty.com/src/main.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/javascript,,,349,3849,,,-1,31,1,-1,-1,53,3,75.119.198.160,,90,
