,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T18:12:21.365+03:00,GET,https://thisissand.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,250,5445,,,2680,87,2,222,2718,0,13,198.58.116.172,,3045,
1,,2019-10-08T18:12:21.639+03:00,GET,https://thisissand.com/dist/bundle.min.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css,,,235,52817,,,-1,-1,1,396,-1,-1,151,198.58.116.172,,548,
2,,2019-10-08T18:12:22.194+03:00,GET,https://thisissand.com/dist/bundle.min.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript,,,251,976080,,,-1,-1,0,207,-1,-1,689,198.58.116.172,,898,
3,,2019-10-08T18:12:22.260+03:00,GET,https://thisissand.com/assets/images/appStoreBadge.png,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,image/png,,,234,3531,,,578,0,0,192,613,0,0,198.58.116.172,,807,
4,,2019-10-08T18:12:22.266+03:00,GET,https://thisissand.com/assets/images/playStoreBadge.png,HTTP/1.1,407,0,,200,OK,HTTP/1.1,0,image/png,,,235,8120,,,585,0,1,201,620,0,0,198.58.116.172,,822,
5,,2019-10-08T18:12:22.458+03:00,GET,https://thisissand.com/assets/images/instagram.png,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,image/png,,,234,2731,,,-1,-1,0,228,-1,-1,0,198.58.116.172,,229,
6,,2019-10-08T18:12:22.474+03:00,GET,https://thisissand.com/assets/images/facebook.png,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,image/png,,,234,2236,,,-1,-1,0,215,-1,-1,0,198.58.116.172,,216,
7,,2019-10-08T18:12:22.691+03:00,GET,https://thisissand.com/assets/images/twitter.png,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,image/png,,,234,2605,,,-1,-1,0,192,-1,-1,0,198.58.116.172,,193,
8,,2019-10-08T18:12:22.694+03:00,GET,https://thisissand.com/assets/images/tumblr.png,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/png,,,234,2344,,,-1,-1,0,192,-1,-1,0,198.58.116.172,,193,
9,,2019-10-08T18:12:23.265+03:00,GET,https://d2wy8f7a9ursnm.cloudfront.net/bugsnag-2.min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,541,2962,,,1524,66,0,81,1552,0,5,143.204.194.90,,1705,
10,,2019-10-08T18:12:23.380+03:00,GET,https://thisissand.com/dist/7d1cb99317f654a8c6b7723f3ff15084.jpg,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/jpeg,,,239,547362,,,-1,-1,1,217,-1,-1,238,198.58.116.172,,456,
11,,2019-10-08T18:12:23.381+03:00,GET,https://thisissand.com/dist/8e2d6d389bedb4ae73631ddbcdab9c33.png,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,image/png,,,238,634581,,,-1,-1,0,401,-1,-1,692,198.58.116.172,,1094,
12,,2019-10-08T18:12:23.695+03:00,GET,https://thisissand.com/dist/ff56f4e71bb98dcb3d33f6e529b5275f.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,24008,,,-1,-1,0,350,-1,-1,7,198.58.116.172,,359,
13,,2019-10-08T18:12:23.700+03:00,GET,https://thisissand.com/dist/a44bc33777315bb6d29a623b3125de62.woff2,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,251,23728,,,586,0,1,358,620,0,3,198.58.116.172,,983,
14,,2019-10-08T18:12:27.301+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,4118,41,0,97,4146,0,28,172.217.22.110,,4314,
15,,2019-10-08T18:12:27.450+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1097986411&t=pageview&_s=1&dl=https%3A%2F%2Fthisissand.com%2F&ul=en-us&de=UTF-8&dt=Thisissand&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAAAB~&jid=640373718&gjid=462976761&cid=2003219837.1570547547&tid=UA-8120964-1&_gid=59585547.1570547547&_r=1&z=1805498110,HTTP/1.1,665,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,0,99,-1,-1,0,172.217.22.110,,100,value
