,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:42:56.710+03:00,GET,https://beta.freerice.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html,,,663,3831,,,0,21,1611,2,90,1578,227,151.101.18.133,,1953,
1,,2019-10-09T18:42:56.860+03:00,GET,https://beta.freerice.com/static/css/main.99e40889.chunk.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,664,14491,,,-1,51,-1,1,99,-1,-1,151.101.18.133,,152,
2,,2019-10-09T18:42:57.019+03:00,GET,https://beta.freerice.com/assets/oil/oil.1.2.2-RELEASE.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,27315,,,0,108,152,1,180,120,0,151.101.18.133,,442,
3,,2019-10-09T18:42:57.020+03:00,GET,https://beta.freerice.com/static/js/2.870e4b6e.chunk.js,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,application/javascript,,,679,115779,,,-1,131,-1,1,86,-1,-1,151.101.18.133,,219,
4,,2019-10-09T18:42:57.021+03:00,GET,https://beta.freerice.com/static/js/main.f4b3d39b.chunk.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,59912,,,0,194,153,0,102,121,0,151.101.18.133,,451,
5,,2019-10-09T18:42:59.075+03:00,GET,https://polyfill.io/v3/polyfill.min.js?features=default%2CArray.prototype.find%2CArray.prototype.includes,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,696,74,,,0,1,2169,0,99,2138,36,151.101.66.109,,2308,value
6,,2019-10-09T18:42:59.396+03:00,GET,https://beta.freerice.com/static/media/logo.39e48f11.svg,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,5297,,,-1,5,-1,0,246,-1,-1,151.101.18.133,,252,
7,,2019-10-09T18:42:59.400+03:00,GET,https://beta.freerice.com/static/media/anonymous.6af2173d.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,400,,,-1,0,-1,0,93,-1,-1,151.101.18.133,,94,
8,,2019-10-09T18:42:59.453+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Bold.0ac670c8.woff2,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,font/woff2,,,615,14636,,,0,34,159,1,189,124,0,151.101.18.133,,384,
9,,2019-10-09T18:42:59.558+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Regular.9bd6fd3f.woff2,HTTP/1.1,455,0,,200,OK,HTTP/1.1,0,font/woff2,,,615,13964,,,-1,7,-1,1,160,-1,-1,151.101.18.133,,169,
10,,2019-10-09T18:43:00.883+03:00,GET,https://oil.axelspringer.com/release/1.2.2/1.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,2384,,,0,7,1475,0,122,1445,158,52.210.112.53,,1764,
11,,2019-10-09T18:43:00.914+03:00,GET,https://oil.axelspringer.com/release/1.2.2/0.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,11657,,,0,68,1506,0,102,1476,157,52.210.112.53,,1835,
