,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T16:01:31.175+03:00,GET,https://www.rainymood.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,523,3566,,,1467,0,19,130,1428,440,2,104.27.170.92,,2061,
1,,2019-10-12T16:01:31.679+03:00,GET,https://www.rainymood.com/i/icons/instagram/instagram-48a.png,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,image/png,,,482,749,,,-1,-1,2,-1,-1,99,1,104.27.170.92,,104,
2,,2019-10-12T16:01:31.786+03:00,GET,https://www.rainymood.com/i/b/75.jpg,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/jpeg,,,485,143621,,,-1,-1,179,-1,-1,95,0,104.27.170.92,,275,
3,,2019-10-12T16:01:31.845+03:00,GET,https://www.rainymood.com/css/marcellussc-regular-webfont.woff2,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,font/woff2,,,485,25072,,,153,0,38,0,120,98,1,104.27.170.92,,290,
4,,2019-10-12T16:01:31.847+03:00,GET,https://www.rainymood.com/i/icons/twitter/twitter-48a.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,482,689,,,161,0,0,0,129,101,1,104.27.170.92,,265,
5,,2019-10-12T16:01:31.858+03:00,GET,https://www.rainymood.com/i/icons/facebook/facebook-48a.png,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/png,,,481,561,,,164,0,0,0,139,108,2,104.27.170.92,,275,
6,,2019-10-12T16:01:31.858+03:00,GET,https://www.rainymood.com/i/badgeApple1.png,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,image/png,,,483,2247,,,164,0,1,0,132,109,0,104.27.170.92,,277,
7,,2019-10-12T16:01:31.860+03:00,GET,https://www.rainymood.com/i/badgeGooglePlay1.png,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,image/png,,,482,2627,,,168,0,1,0,135,105,0,104.27.170.92,,277,
8,,2019-10-12T16:01:31.957+03:00,GET,https://www.rainymood.com/appad/appad-poster4.jpg,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,image/jpeg,,,485,52119,,,-1,-1,104,-1,-1,101,0,104.27.170.92,,207,
9,,2019-10-12T16:01:31.980+03:00,GET,https://www.rainymood.com/audio1110/0.m4a,HTTP/1.1,441,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,432,-1,,,-1,-1,1118,-1,-1,478,0,104.27.170.92,,1597,
10,,2019-10-12T16:01:33.351+03:00,GET,https://rainymood.com/i/play4.png,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/png,,,482,1223,,,1557,0,0,81,1534,96,0,104.27.171.92,,1737,
11,,2019-10-12T16:01:35.507+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,363,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,3817,0,28,0,3787,100,0,172.217.22.110,,3948,
12,,2019-10-12T16:01:35.654+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&aip=1&a=967104395&t=pageview&_s=1&dl=https%3A%2F%2Fwww.rainymood.com%2F&ul=en-us&de=UTF-8&dt=Rainy%20Mood%20-%20Helps%20you%20to%20focus%2C%20relax%2C%20and%20sleep.%20Now%20available%20for%20iOS%20and%20Android&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAAAB~&cid=1077132540.1570885296&tid=UA-685453-6&_gid=1014136992.1570885296&z=109785990,HTTP/1.1,748,0,,200,OK,HTTP/1.1,0,image/gif,,,479,35,,,-1,-1,0,-1,-1,95,0,172.217.22.110,,96,value
