,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,response._error
0,har_a0,2019-12-17T09:49:16.457+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,510,2492,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1341,0,,,-1,-1,0,86,0,-1,-1,31.13.90.36,,87,
1,har_a0,2019-12-17T09:49:16.577+02:00,GET,https://www.facebook.com/boulderingmag/,HTTP/1.1,799,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.90.36,,0,No response received
2,har_a0,2019-12-17T09:49:16.683+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,725,2616,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.90.36,,0,No response received
