,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time
0,har_a0,2019-12-17T09:49:23.969+02:00,GET,https://www.facebook.com/boulderingmag/,HTTP/1.1,800,0,,0,,unknown,0,,,,-1,-1,,No response received,,-1,-1,0,0,0,-1,-1,31.13.90.36,,0
1,har_a0,2019-12-17T09:49:24.030+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,681,2616,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1577,0,,,,0,159,0,88,0,0,86,31.13.90.36,,248
2,har_a0,2019-12-17T09:49:24.121+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,690,2190,,0,,unknown,0,,,,-1,-1,,No response received,,-1,-1,0,0,0,-1,-1,31.13.90.36,,0
