,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,response._error
0,har_a0,2019-12-17T09:49:48.738+02:00,GET,https://pixel.facebook.com/si/kappa/async/?Ka=AbFjmPHJch6eaQ-Q&Kt=1576568988685&Ko=a&__a=1&__beoa=0&__csr=&__dyn=7AgNe-4amaxx2u6aJGeFxqewKKEKEW6qheC263GdwIhE98nwgUaofUvGbxK5WwIKaxeUW3KFUe8OdwJx64e2p1yu4bz8nxm3i3a4E9ohwoU8U5SEuxm1GzFVo5y16xCWxS68nxK2C12wRyUvwHzU5W78-WxC1FGdhUix62PK6Uylxfwzxmfz9rBxefxi3-5od8K6E4ah4Bx3zHAy8aElxeaCzU4ucxy48y2i3yeCzEmgK7o88vwEy8iw8q262O2WE9EjwtUym2mfxW68lBwcO3y&__hsi=6771312056449442235-0&__pc=PHASED%3ADEFAULT&__req=51&__rev=1001550865&__s=m605xb%3Awi0sxx%3Anikvw5&__spin_b=trunk&__spin_r=1001550865&__spin_t=1576568944&__user=100028348094631&asyncSignal=1887&dpr=1&fb_dtsg=AQFQ75CoPeB1%3AAQHo0Fa0x0j2&jazoest=21853,HTTP/1.1,value,1015,0,,200,OK,HTTP/1.1,0,image/png,,,467,67,,,-1,-1,0,97,0,-1,-1,31.13.90.37,,98,
1,har_a0,2019-12-17T09:49:48.761+02:00,GET,https://www.facebook.com/boulderingmag/,HTTP/1.1,,800,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.90.36,,0,No response received
2,har_a0,2019-12-17T09:49:48.818+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,726,2614,,0,,unknown,0,,,,-1,-1,,,0,138,0,0,0,0,74,31.13.90.36,,138,No response received
