,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,491,HTTP/1.1,GET,https://www.linkedin.com/,,9319,,,text/html; charset=utf-8,0,2427,HTTP/1.1,,200,OK,185.63.144.1,2019-11-01T10:24:30.021+02:00,1505,0,,682,86,4,1,646,731
1,,,0,,416,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/p0e6qnmi9u2gfspo9jdn5jt4,,14924,,,text/css,0,767,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:24:31.293+02:00,960,0,,432,34,4,1,395,487
2,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dk8y5buwzkcb4txrhtjmyajdw,,13795,,,text/javascript,0,744,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:24:31.295+02:00,824,0,,433,33,0,1,404,354
3,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1mgt5zmqfd6dgkt8vfgxfelun,,25036,,,text/javascript,0,1042,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:24:31.296+02:00,745,0,,434,34,60,0,396,214
4,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,,349,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:24:31.813+02:00,95,-1,,-1,-1,0,0,-1,93
5,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,,202,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:24:31.938+02:00,97,-1,,-1,-1,0,0,-1,96
6,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,,315,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:24:31.942+02:00,41,-1,,-1,-1,0,0,-1,39
7,,,0,,438,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,No response received,-1,,,,0,-1,unknown,,0,,212.55.190.51,2019-11-01T10:24:31.947+02:00,0,-1,,-1,-1,0,0,-1,0
8,,,0,,694,HTTP/1.1,GET,https://www.linkedin.com/litms/api/metadata/user,No response received,-1,,,,0,-1,unknown,,0,,185.63.144.1,2019-11-01T10:24:31.970+02:00,0,-1,,-1,-1,0,0,-1,0
9,,,0,,438,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/d80ave0ov78t6vlt7maud1pwd,No response received,-1,,,,0,-1,unknown,,0,,212.55.190.51,2019-11-01T10:24:31.987+02:00,1,-1,,-1,-1,0,1,-1,0
