,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,491,HTTP/1.1,GET,https://www.linkedin.com/,,9316,,,text/html; charset=utf-8,0,2427,HTTP/1.1,,200,OK,185.63.144.1,2019-11-01T12:24:43.575+02:00,1007,0,,542,36,4,1,516,422
1,,,0,,416,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/p0e6qnmi9u2gfspo9jdn5jt4,,14924,,,text/css,0,767,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T12:24:44.615+02:00,1591,0,,521,33,0,2,492,1032
2,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1mgt5zmqfd6dgkt8vfgxfelun,,25036,,,text/javascript,0,1042,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T12:24:44.616+02:00,766,0,,523,22,3,2,493,213
3,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dk8y5buwzkcb4txrhtjmyajdw,,13795,,,text/javascript,0,744,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T12:24:44.621+02:00,1463,0,,528,23,0,1,491,909
4,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,,349,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T12:24:45.675+02:00,98,-1,,-1,-1,0,0,-1,97
5,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,,202,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T12:24:45.861+02:00,45,-1,,-1,-1,0,0,-1,44
6,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,No response received,-1,,,,0,-1,unknown,,0,,212.55.190.51,2019-11-01T12:24:45.861+02:00,0,-1,,-1,-1,0,0,-1,0
7,,,0,,438,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,No response received,-1,,,,0,-1,unknown,,0,,212.55.190.51,2019-11-01T12:24:45.861+02:00,7,-1,,-1,-1,0,7,-1,0
8,,,0,,694,HTTP/1.1,GET,https://www.linkedin.com/litms/api/metadata/user,No response received,-1,,,,0,-1,unknown,,0,,185.63.144.1,2019-11-01T12:24:45.882+02:00,0,-1,,-1,-1,0,0,-1,0
