,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,491,HTTP/1.1,GET,https://www.linkedin.com/,,9320,,,text/html; charset=utf-8,0,2491,HTTP/1.1,,200,OK,185.63.144.1,2019-11-01T10:04:47.109+02:00,1082,0,,471,76,2,1,438,531
1,,,0,,416,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/p0e6qnmi9u2gfspo9jdn5jt4,,14924,,,text/css,0,767,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:04:48.338+02:00,1780,0,,576,62,1,2,548,1137
2,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1mgt5zmqfd6dgkt8vfgxfelun,,25036,,,text/javascript,0,1042,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:04:48.338+02:00,987,0,,577,61,128,2,548,217
3,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dk8y5buwzkcb4txrhtjmyajdw,,13795,,,text/javascript,0,744,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:04:48.342+02:00,1345,0,,576,61,0,1,540,705
4,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,,349,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:04:49.501+02:00,107,-1,,-1,-1,0,0,-1,105
5,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,No response received,-1,,,,0,-1,unknown,,0,,212.55.190.51,2019-11-01T10:04:49.638+02:00,0,-1,,-1,-1,0,0,-1,0
6,,,0,,472,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,,315,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:04:49.641+02:00,37,-1,,-1,-1,0,0,-1,36
7,,,0,,438,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,,-1,,,image/svg+xml,0,667,HTTP/1.1,,200,OK,212.55.190.51,2019-11-01T10:04:49.645+02:00,53,-1,,-1,-1,0,0,-1,52
8,,,0,,694,HTTP/1.1,GET,https://www.linkedin.com/litms/api/metadata/user,No response received,-1,,,,0,-1,unknown,,0,,185.63.144.1,2019-11-01T10:04:49.665+02:00,0,-1,,-1,-1,0,0,-1,0
9,,,0,,438,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/d80ave0ov78t6vlt7maud1pwd,No response received,-1,,,,0,-1,unknown,,0,,212.55.190.51,2019-11-01T10:04:49.686+02:00,0,-1,,-1,-1,0,0,-1,0
