,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,491,HTTP/1.1,GET,https://www.linkedin.com/,,9317,,,text/html; charset=utf-8,0,2449,HTTP/1.1,,200,OK,185.63.144.1,2019-11-02T10:31:59.264+02:00,2131,0,,1586,50,95,1,1465,398
1,,,0,,417,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/4q81rlpz4ct86t7nf272l13k2,,14834,,,text/css,0,767,HTTP/1.1,,200,OK,184.29.70.124,2019-11-02T10:32:00.178+02:00,402,0,,330,0,2,0,317,69
2,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/5juv56bonyoruqbpnpygcq3wx,,24427,,,text/javascript,0,834,HTTP/1.1,,200,OK,184.29.70.124,2019-11-02T10:32:00.181+02:00,689,0,,333,0,2,0,319,352
3,,,0,,402,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dk8y5buwzkcb4txrhtjmyajdw,,13795,,,text/javascript,0,774,HTTP/1.1,,200,OK,184.29.70.124,2019-11-02T10:32:00.181+02:00,572,0,,391,81,0,0,378,97
4,,,0,,473,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,,349,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,184.29.70.124,2019-11-02T10:32:00.359+02:00,214,-1,,-1,-1,0,0,-1,213
5,,,0,,473,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,No response received,-1,,,,0,-1,unknown,,0,,184.29.70.124,2019-11-02T10:32:00.624+02:00,0,-1,,-1,-1,0,0,-1,0
6,,,0,,473,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,No response received,-1,,,,0,-1,unknown,,0,,184.29.70.124,2019-11-02T10:32:00.628+02:00,0,-1,,-1,-1,0,0,-1,0
7,,,0,,438,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,No response received,-1,,,,0,-1,unknown,,0,,184.29.70.124,2019-11-02T10:32:00.631+02:00,0,-1,,-1,-1,0,0,-1,0
