,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T16:27:29.158+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,441,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/?__r=1.b11212b18138b075955ed8c2e8eac915,412,116,,,15,0,46,11,114,-1,90,213.186.33.107,,277,,
1,,2019-10-08T16:27:29.470+03:00,GET,http://orteil.dashnet.org/cookieclicker/?__r=1.b11212b18138b075955ed8c2e8eac915,HTTP/1.1,480,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/,439,116,,,7,0,32,0,127,-1,2,213.186.33.107,,172,value,
2,,2019-10-08T16:27:29.642+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,text/html,,,352,3926,,,2,-1,-1,5,102,-1,-1,213.186.33.107,,110,,
3,,2019-10-08T16:27:29.816+03:00,GET,http://orteil.dashnet.org/cookieclicker/showads.js,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,application/javascript,,,482,198,,,0,-1,-1,0,102,-1,-1,213.186.33.107,,103,,
4,,2019-10-08T16:27:29.819+03:00,GET,http://orteil.dashnet.org/cookieclicker/base64.js,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/javascript,,,482,931,,,1,-1,-1,0,3710,-1,-1,213.186.33.107,,3713,,
5,,2019-10-08T16:27:29.825+03:00,GET,http://orteil.dashnet.org/cookieclicker/style.css?v=2.050,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,text/css,,,469,12239,,,6,0,31,1,128,-1,0,213.186.33.107,,168,value,
6,,2019-10-08T16:27:29.827+03:00,GET,http://orteil.dashnet.org/cookieclicker/main.js?v=2.06,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,application/javascript,,,485,197309,,,242,0,29,1,122,-1,0,213.186.33.107,,395,value,
7,,2019-10-08T16:27:29.831+03:00,GET,http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,535,36822,,,78,0,29,0,161,-1,26,216.58.207.34,,297,,
8,,2019-10-08T16:27:31.306+03:00,GET,"https://fonts.googleapis.com/css?family=Merriweather:900&subset=latin,latin-ext",HTTP/1.1,426,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,431,,,0,0,1464,2,111,1447,1,216.58.207.42,,1581,value,
9,,2019-10-08T16:27:31.603+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,693,1726,,,0,0,1756,0,157,1729,32,104.19.195.151,,1947,,
10,,2019-10-08T16:27:32.697+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,76,0,2839,0,125,2810,32,216.58.207.34,,3074,,
11,,2019-10-08T16:27:33.605+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/darkNoise.jpg,HTTP/1.1,488,0,,200,OK,HTTP/1.1,0,image/jpeg,,,430,9906,,,1037,-1,-1,0,1664,-1,-1,213.186.33.107,,2702,,
12,,2019-10-08T16:27:33.605+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/darkNoiseTopBar.jpg,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,image/jpeg,,,430,2226,,,0,-1,-1,0,356,-1,-1,213.186.33.107,,357,,
13,,2019-10-08T16:27:33.606+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/discord.png,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,image/png,,,422,2357,,,0,-1,-1,0,1524,-1,-1,213.186.33.107,,1525,,
14,,2019-10-08T16:27:33.606+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/weeHoodie.png,HTTP/1.1,471,0,,200,OK,HTTP/1.1,0,image/png,,,423,2651,,,1,-1,-1,0,105,-1,-1,213.186.33.107,,107,,
15,,2019-10-08T16:27:33.610+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/patreon.png,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,image/png,,,423,2413,,,0,0,37,0,2919,-1,0,213.186.33.107,,2958,,
