,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T16:25:14.471+03:00,GET,https://www.poptropica.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,922,7019,,,128,353,2138,2,0,18,2181,143.204.198.80,,2685,,
1,,2019-10-12T16:25:14.899+03:00,GET,https://www.poptropica.com/images/logo-1.png,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/png,,,609,33679,,,-1,98,-1,1,-1,67,-1,143.204.198.80,,167,,
2,,2019-10-12T16:25:15.084+03:00,GET,https://www.poptropica.com/brain/track.php?campaign=IndexPage&event=ImageABTest&cluster=Home&scene=Home&choice=Poptropica_HP.jpg&r=%2Fimages%2FPoptropica_HP.jpg,HTTP/1.1,641,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=iso-8859-1,,/images/Poptropica_HP.jpg,726,2621,,,-1,342,-1,2,-1,3,-1,143.204.198.80,,348,value,
3,,2019-10-12T16:25:15.442+03:00,GET,https://www.poptropica.com/images/Poptropica_HP.jpg,HTTP/1.1,532,0,,200,OK,HTTP/1.1,0,image/jpeg,,,623,212953,,,-1,99,-1,0,-1,261,-1,143.204.198.80,,361,,
4,,2019-10-12T16:25:16.547+03:00,GET,https://static.poptropica.com/re_css/pop-main.css,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/css,,,619,18134,,,146,108,1460,1,0,47,1504,13.224.132.135,,1807,,
5,,2019-10-12T16:25:16.569+03:00,GET,https://static.poptropica.com/js/brainEventTracker.js,HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/javascript,,,625,5704,,,149,87,1480,1,0,10,1517,13.224.132.135,,1767,,
6,,2019-10-12T16:25:16.569+03:00,GET,https://static.poptropica.com/js/jquery.bxslider.4.1.2.min.js,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,19359,,,0,108,707,0,0,42,755,13.224.132.135,,907,,
7,,2019-10-12T16:25:16.730+03:00,GET,https://static.poptropica.com/js/jquery.magnific-popup.min.js,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,20680,,,-1,97,-1,0,-1,58,-1,13.224.132.135,,156,,
8,,2019-10-12T16:25:16.893+03:00,GET,https://static.poptropica.com/js/pop-homepage.js,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,text/javascript,,,625,6874,,,-1,106,-1,0,-1,16,-1,13.224.132.135,,123,,
9,,2019-10-12T16:25:17.013+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,30399,,,36,96,2049,0,0,63,2073,172.217.22.10,,2270,,
10,,2019-10-12T16:25:17.021+03:00,GET,https://static.poptropica.com/images/edit-pen-icon.png,HTTP/1.1,522,0,,200,OK,HTTP/1.1,0,image/png,,,618,2384,,,-1,115,-1,0,-1,1,-1,13.224.132.135,,117,,
11,,2019-10-12T16:25:17.033+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js,HTTP/1.1,384,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,617,33434,,,0,85,1888,0,0,66,1919,172.217.22.10,,2072,,
12,,2019-10-12T16:25:17.144+03:00,GET,https://static.poptropica.com/images/explore-icon.png,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,image/png,,,619,7489,,,-1,98,-1,0,-1,14,-1,13.224.132.135,,113,,
13,,2019-10-12T16:25:17.152+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,456,9832,,,25,91,2206,0,0,645,2225,209.197.3.15,,2988,,
14,,2019-10-12T16:25:17.152+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,33,87,2198,0,0,1571,2226,209.197.3.15,,3920,,
15,,2019-10-12T16:25:17.177+03:00,GET,https://static.poptropica.com/images/become-member-icon.png,HTTP/1.1,527,0,,200,OK,HTTP/1.1,0,image/png,,,607,3758,,,-1,93,-1,0,-1,0,-1,13.224.132.135,,94,,
