,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-09-28T18:59:46.762+03:00,GET,http://dontevenreply.com/,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,261,13589,,,16,0,182,4,182,-1,461,64.22.68.51,,847,
1,,2019-09-28T18:59:47.648+03:00,GET,http://dontevenreply.com/globalnew.css,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,text/css,,,266,454,,,0,-1,-1,3,178,-1,-1,64.22.68.51,,182,
2,,2019-09-28T18:59:47.659+03:00,GET,http://dontevenreply.com/images/shovelad.gif,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,image/gif,,,257,99997,,,1467,0,185,1,181,-1,3,64.22.68.51,,1839,
3,,2019-09-28T18:59:47.659+03:00,GET,http://dontevenreply.com/images/toc.gif,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/gif,,,256,37918,,,444,0,182,1,203,-1,3,64.22.68.51,,835,
4,,2019-09-28T18:59:47.659+03:00,GET,http://dontevenreply.com/images/asmsmall2.png,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,image/png,,,255,4324,,,19,0,184,2,206,-1,4,64.22.68.51,,417,
5,,2019-09-28T18:59:47.659+03:00,GET,http://pagead2.googlesyndication.com/pagead/show_ads.js,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,538,26581,,,124,0,103,1,83,-1,33,172.217.21.194,,346,
6,,2019-09-28T18:59:47.660+03:00,GET,http://dontevenreply.com/images/original_hedge_ad.gif,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,image/gif,,,258,101036,,,844,0,184,1,203,-1,3,64.22.68.51,,1237,
7,,2019-09-28T18:59:47.661+03:00,GET,http://dontevenreply.com/images/troubleshoot.gif,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,image/gif,,,256,57143,,,681,0,184,3,200,-1,2,64.22.68.51,,1072,
8,,2019-09-28T18:59:47.661+03:00,GET,http://www.lijit.com/wijitinit?uri=http%3A%2F%2Fwww.lijit.com%2Fusers%2Fdontevenreply&js=1,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/json,,,158,-1,,,559,0,183,2,325,-1,171,76.223.8.20,,1241,value
9,,2019-09-28T18:59:47.838+03:00,GET,http://dontevenreply.com/book.JPG,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,image/jpeg,,,219,10074,,,64,-1,-1,0,168,-1,-1,64.22.68.51,,233,
10,,2019-09-28T18:59:51.595+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,418,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,17168,,,70,0,3141,2,537,2949,0,172.217.23.142,,3751,
11,,2019-09-28T18:59:53.193+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20190924/r20190131/show_ads_impl.js,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,815,85563,,,271,0,4966,1,88,1898,0,172.217.21.194,,5327,
12,,2019-09-28T18:59:53.472+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20190924/r20190131/show_ads_impl.js,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,815,85563,,,414,0,159,1,102,93,0,172.217.21.194,,677,
