,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-12T16:24:21.727+03:00,GET,http://www.shadyurl.com/,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/html,,,220,1398,,,20,44,0,3,291,-1,2,45.55.57.141,,362,,
1,,2019-10-12T16:24:22.142+03:00,GET,http://www.shadyurl.com/layout/shady.css,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,text/css,,,282,1259,,,2,-1,-1,5,180,-1,-1,45.55.57.141,,188,,
2,,2019-10-12T16:24:22.150+03:00,GET,http://www.shadyurl.com/images/header.gif,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/gif,,,232,4646,,,1,35,0,1,267,-1,2,45.55.57.141,,307,,
3,,2019-10-12T16:24:22.150+03:00,GET,http://pagead2.googlesyndication.com/pagead/show_ads.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,537,28219,,,70,31,0,0,166,-1,37,172.217.22.98,,308,,
4,,2019-10-12T16:24:22.378+03:00,GET,http://www.shadyurl.com/images/submitbtn.gif,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,image/gif,,,231,2024,,,0,-1,-1,0,164,-1,-1,45.55.57.141,,166,,
5,,2019-10-12T16:24:25.911+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,388,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,2,3340,0,2,102,3300,1,172.217.22.98,,3449,value,
6,,2019-10-12T16:24:25.911+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,2,3318,0,1,103,3279,22,172.217.22.98,,3448,value,
7,,2019-10-12T16:24:25.921+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,417,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,43,3293,0,1,94,3254,0,216.58.206.14,,3433,,
8,,2019-10-12T16:24:26.094+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=342748540&utmhn=www.shadyurl.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=ShadyURL%20-%20Don%27t%20just%20shorten%20your%20URL%2C%20make%20it%20suspicious%20and%20frightening.&utmhid=559544717&utmr=-&utmp=%2F&utmht=1570886666076&utmac=UA-11486297-4&utmcc=__utma%3D157738104.805292919.1570886666.1570886666.1570886666.1%3B%2B__utmz%3D157738104.1570886666.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=186369294&utmredir=1&utmu=DAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,917,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,-1,-1,0,96,-1,-1,216.58.206.14,,98,value,
9,,2019-10-12T16:24:26.583+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,3,3942,0,0,104,3920,30,172.217.22.98,,4081,,
10,,2019-10-12T16:24:27.080+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,148,4501,0,0,141,4459,0,172.217.22.98,,4792,,
11,,2019-10-12T16:24:27.381+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,166,141,0,0,120,112,0,172.217.22.98,,429,,
12,,2019-10-12T16:24:27.738+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-4024816092700504&output=html&h=90&slotname=9259435428&adk=3067955866&adf=4213546633&w=728&lmt=1570886667&guci=2.2.0.0.2.2.0.0&url=http%3A%2F%2Fwww.shadyurl.com%2F&flash=0&wgl=1&adsid=NT&dt=1570886662453&bpp=142&bdt=349&fdt=5237&idt=5238&shv=r20191003&cbv=r20190131&saldr=sa&abxe=1&correlator=7680414484185&frm=20&pv=2&ga_vid=805292919.1570886666&ga_sid=1570886666&ga_hid=559544717&ga_fc=1&iag=0&icsg=648&dssz=9&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=40&ady=481&biw=779&bih=600&scr_x=0&scr_y=0&eid=21064714&oid=3&pvsid=1809538535535713&pem=150&rx=0&eae=0&fc=656&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeE%7C&abl=CS&pfx=0&fu=16&bc=23&ifi=1&uci=1.qr9gjtl80jnb&xpc=jpxqLpkesb&p=http%3A//www.shadyurl.com&dtd=5269,HTTP/1.1,1333,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,12914,,,13,-1,-1,0,306,-1,-1,172.217.22.98,,321,value,
13,,2019-10-12T16:24:28.065+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,355,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,4,5889,0,0,97,5865,0,172.217.18.4,,5993,,
