,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-09-28T19:36:24.671+03:00,GET,https://twitter.com/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html;charset=utf-8,,,6207,14268,,,68,0,1940,17,1845,3,246,104.244.42.65,,2276,,
1,,2019-09-28T19:36:25.029+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1149,2161,,,1,-1,-1,-1,-1,0,205,104.244.42.65,,207,value,
2,,2019-09-28T19:36:26.686+03:00,GET,https://abs.twimg.com/a/1569522150/css/t1/twitter_core.bundle.css,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,577,35309,,,170,0,1688,14,1602,1,78,192.229.233.50,,1953,,
3,,2019-09-28T19:36:26.690+03:00,GET,https://abs.twimg.com/a/1569522150/css/t1/twitter_more_1.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,43389,,,180,0,1691,16,1607,1,79,192.229.233.50,,1969,,
4,,2019-09-28T19:36:26.712+03:00,GET,https://abs.twimg.com/a/1569522150/css/t1/twitter_more_2.bundle.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,577,38631,,,180,0,1715,18,1633,0,85,192.229.233.50,,2001,,
5,,2019-09-28T19:36:26.712+03:00,GET,https://abs.twimg.com/k/en/init.en.77c56452e473e94d573f.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,607,180312,,,419,0,1714,12,1629,1,77,192.229.233.50,,2226,,
6,,2019-09-28T19:36:26.715+03:00,GET,https://abs.twimg.com/k/en/0.commons.en.06a750caea28350212ee.js,HTTP/1.1,375,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,608,249858,,,652,0,1717,16,1631,1,86,192.229.233.50,,2474,,
7,,2019-09-28T19:36:27.198+03:00,GET,https://twitter.com/i/js_inst?c_name=ui_metrics,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1149,2555,,,5,-1,-1,-1,-1,0,205,104.244.42.65,,212,value,
8,,2019-09-28T19:36:27.652+03:00,GET,https://abs.twimg.com/a/1569522150/font/edge-icons-Regular.woff,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,application/font-woff,,,542,25892,,,101,0,440,0,296,0,90,192.229.233.50,,633,,
9,,2019-09-28T19:36:27.676+03:00,GET,https://abs.twimg.com/k/en/7.pages_signup.en.6bfee475d9b7243c5db9.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,605,21560,,,9,-1,-1,-1,-1,0,85,192.229.233.50,,95,,
10,,2019-09-28T19:36:29.810+03:00,GET,https://syndication.twitter.com/i/jot/syndication?l=%7B%22_category_%22%3A%22syndicated_impression%22%2C%22event_namespace%22%3A%7B%22client%22%3A%22web%22%2C%22page%22%3A%22front%22%2C%22action%22%3A%22impression%22%7D%2C%22triggered_on%22%3A1569688587979%7D,HTTP/1.1,1037,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,899,65,,,0,0,1804,15,1723,0,202,104.244.42.136,,2024,value,
11,,2019-09-28T19:36:30.342+03:00,GET,https://analytics.twitter.com/tpm/p?_=1569688587309,HTTP/1.1,839,0,,200,OK,HTTP/1.1,0,application/json;charset=utf-8,,,591,139,,,0,0,2278,87,2195,0,212,104.244.42.131,,2578,value,
12,,2019-09-28T19:36:30.849+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,914,5087,,200,OK,HTTP/1.1,0,,,,1043,0,,,2,-1,-1,-1,-1,0,214,104.244.42.65,,217,value,
13,,2019-09-28T19:36:30.894+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,17803,,,66,0,2907,0,2839,0,64,172.217.18.14,,3040,,
14,,2019-09-28T19:36:31.096+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=1941317798&t=pageview&_s=1&dl=https%3A%2F%2Ftwitter.com%2F&dr=&dp=%2Fanon%2Ffront%2Ffront&ul=en-us&de=UTF-8&dt=REDACTED&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAQAB~&jid=652774660&gjid=1381822733&cid=2103253038.1569688591&tid=UA-30775-6&_gid=1569670647.1569688591&_r=1&z=1224565132,HTTP/1.1,695,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-30775-6&cid=2103253038.1569688591&jid=652774660&_gid=1569670647.1569688591&gjid=1381822733&_v=j79&z=1224565132,616,416,,,1,-1,-1,-1,-1,1,74,172.217.18.14,,76,value,
15,,2019-09-28T19:36:31.187+03:00,POST,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,HTTP/1.1,989,4876,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,-1,5,0,104.244.42.65,,5,value,No response received
