,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time
0,,2019-10-08T16:35:56.404+03:00,GET,https://www.ineedaprompt.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,270,14088,,,0,18,1211,971,1169,244,2,192.241.177.50,,2448
1,,2019-10-08T16:35:56.709+03:00,GET,https://www.ineedaprompt.com/styles.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,327,5635,,,-1,2,-1,-1,-1,172,1,192.241.177.50,,175
2,,2019-10-08T16:35:56.889+03:00,GET,https://www.ineedaprompt.com/ineedaprompt.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,7890,,,-1,0,-1,-1,-1,170,2,192.241.177.50,,173
3,,2019-10-08T16:35:56.999+03:00,GET,https://www.ineedaprompt.com/script.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,4454,,,0,1,289,0,258,167,2,192.241.177.50,,461
