,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
22,,2019-10-12T08:29:49.636+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/spinnySmall.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,423,2812,,,-1,0,-1,-1,0,173,-1,213.186.33.107,,174,,
23,,2019-10-12T08:29:49.682+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelHorizontal.png?v=2,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,image/png,,,423,6718,,,-1,0,-1,-1,0,130,-1,213.186.33.107,,131,value,
24,,2019-10-12T08:29:49.860+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelGradientRight.png,HTTP/1.1,497,0,,200,OK,HTTP/1.1,0,image/png,,,423,1003,,,-1,1,-1,-1,0,143,-1,213.186.33.107,,145,,
25,,2019-10-12T08:29:49.865+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/panelGradientLeft.png,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,image/png,,,423,1003,,,-1,0,-1,-1,0,139,-1,213.186.33.107,,140,,
26,,2019-10-12T08:29:49.881+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/prestigeBarCap.png,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,image/png,,,422,974,,,-1,0,-1,-1,0,124,-1,213.186.33.107,,125,,
27,,2019-10-12T08:29:49.906+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/prestigeBar.jpg,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/jpeg,,,430,633,,,-1,0,-1,-1,0,303,-1,213.186.33.107,,304,,
28,,2019-10-12T08:29:50.204+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/blackGradientSmallTop.png,HTTP/1.1,500,0,,200,OK,HTTP/1.1,0,image/png,,,422,971,,,-1,0,-1,-1,0,242,-1,213.186.33.107,,243,,
29,,2019-10-12T08:29:50.230+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/goldCookie.png,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,image/png,,,423,4099,,,-1,0,-1,-1,0,216,-1,213.186.33.107,,217,,
30,,2019-10-12T08:29:50.232+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/sparkles.jpg,HTTP/1.1,487,0,,200,OK,HTTP/1.1,0,image/jpeg,,,430,12474,,,-1,1,-1,-1,0,387,-1,213.186.33.107,,389,,
31,,2019-10-12T08:29:50.234+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/frameBorder.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,423,1002,,,-1,0,-1,-1,0,212,-1,213.186.33.107,,213,,
32,,2019-10-12T08:29:50.502+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/shadedBordersSoft.png,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,image/png,,,423,3483,,,-1,0,-1,-1,0,118,-1,213.186.33.107,,119,,
33,,2019-10-12T08:29:50.505+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/roundedPanelBGS.png,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,image/png,,,424,21480,,,-1,26,-1,-1,0,319,-1,213.186.33.107,,346,,
34,,2019-10-12T08:29:50.523+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/aqworldsbanner.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,430,7435,,,-1,342,-1,-1,0,507,-1,213.186.33.107,,849,,
35,,2019-10-12T08:29:52.507+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=orteil.dashnet.org,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,3080,0,1,115,3046,216.58.208.34,,3198,value,
36,,2019-10-12T08:29:52.838+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,568,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,894,7402,,,0,7,3375,1,1,95,3240,172.217.21.194,,3481,,
37,,2019-10-12T08:29:52.845+03:00,GET,https://fonts.gstatic.com/s/merriweather/v21/u-4n0qyriQwlOrhSvowK_l52_wFZWMf6.woff2,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,19056,,,0,47,3422,78,1,95,3392,172.217.22.3,,3644,,
38,,2019-10-12T08:29:53.577+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/spinnyBig.png,HTTP/1.1,488,0,,200,OK,HTTP/1.1,0,image/png,,,423,5400,,,-1,0,-1,-1,0,111,-1,213.186.33.107,,112,,
39,,2019-10-12T08:29:53.639+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl_fy2019.js?cache=bust,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,82271,,,0,148,4201,0,0,106,4170,172.217.16.194,,4457,value,
40,,2019-10-12T08:29:53.641+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36815,,,0,73,7621,0,0,97,7487,172.217.16.194,,7793,,
41,,2019-10-12T08:29:53.834+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl_fy2019.js?cache=bust,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,82271,,,-1,100,-1,-1,0,113,-1,172.217.16.194,,214,value,
42,,2019-10-12T08:29:57.001+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8491708950677704&output=html&adk=1812271804&adf=3025194257&lmt=1570858196&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=http%3A%2F%2Forteil.dashnet.org%2Fcookieclicker%2F&ea=0&flash=0&pra=5&wgl=1&adsid=NT&dt=1570858189416&bpp=33&bdt=3471&fdt=7498&idt=7499&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&nras=1&correlator=8301382617096&frm=20&pv=2&ga_vid=1510462284.1570858197&ga_sid=1570858197&ga_hid=2056612724&ga_fc=0&iag=0&icsg=65194&dssz=13&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=800&bih=600&scr_x=0&scr_y=0&eid=20040009&oid=3&pvsid=3839880893362097&pem=99&rx=0&eae=2&fc=1936&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=23&ifi=0&uci=0.8dx2c3hbd1yr&dtd=7534,HTTP/1.1,1402,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,928,44,,,-1,1,-1,-1,0,132,-1,172.217.21.194,,134,value,
43,,2019-10-12T08:29:57.042+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=orteil.dashnet.org,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,3409,0,0,91,3379,172.217.16.194,,3502,value,
44,,2019-10-12T08:29:57.145+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8491708950677704&output=html&h=250&slotname=7077525342&adk=3858836500&adf=1948056654&w=300&fwrn=4&fwrnh=100&lmt=1570858196&rafmt=3&guci=2.2.0.0.2.2.0.0&format=300x250&url=http%3A%2F%2Forteil.dashnet.org%2Fcookieclicker%2F&flash=0&fwr=0&fwrattr=true&rw=300&rpe=1&resp_fmts=1&wgl=1&adsid=NT&dt=1570858189449&bpp=25&bdt=3505&fdt=7526&idt=7526&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=0x0&nras=1&correlator=8301382617096&frm=20&pv=1&ga_vid=1510462284.1570858197&ga_sid=1570858197&ga_hid=2056612724&ga_fc=0&iag=0&icsg=589482&dssz=14&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=483&ady=32&biw=800&bih=600&scr_x=0&scr_y=0&eid=20040009&oid=3&pvsid=3839880893362097&pem=99&rx=0&eae=0&fc=1936&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=d%7C%7CaoeE%7C&abl=CA&pfx=0&fu=144&bc=23&ifi=1&uci=1.v87x2aqgbd46&xpc=AWeSQOS74p&p=http%3A//orteil.dashnet.org&dtd=7537,HTTP/1.1,1485,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,198,,,-1,0,-1,-1,0,232,-1,172.217.21.194,,233,value,
45,,2019-10-12T08:29:57.156+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8491708950677704&output=html&h=250&slotname=9780186019&adk=2400765391&adf=3253320039&w=300&fwrn=4&fwrnh=100&lmt=1570858197&rafmt=1&guci=2.2.0.0.2.2.0.0&format=300x250&url=http%3A%2F%2Forteil.dashnet.org%2Fcookieclicker%2F&flash=0&fwr=0&fwrattr=true&rpe=1&resp_fmts=3&wgl=1&adsid=NT&dt=1570858189475&bpp=8&bdt=3530&fdt=7569&idt=7569&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=0x0%2C300x250&nras=1&correlator=8301382617096&frm=20&pv=1&ga_vid=1510462284.1570858197&ga_sid=1570858197&ga_hid=2056612724&ga_fc=0&iag=0&icsg=589482&dssz=14&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=483&ady=899&biw=800&bih=600&scr_x=0&scr_y=0&eid=20040009&oid=3&pvsid=3839880893362097&pem=99&rx=0&eae=0&fc=1936&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CaeEbr%7C&abl=CA&pfx=0&fu=144&bc=23&ifi=2&uci=2.oluj54mtz2j&xpc=PmwWgsHk3C&p=http%3A//orteil.dashnet.org&dtd=7578,HTTP/1.1,1487,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,0,0,143,0,1,248,114,172.217.21.194,,394,value,
46,,2019-10-12T08:29:59.980+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29055,,,0,61,2969,1,0,140,2939,216.58.208.34,,3173,value,
47,,2019-10-12T08:30:00.229+03:00,GET,http://orteil.dashnet.org/cookieconsent.css,HTTP/1.1,436,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,0,0,-1,213.186.33.107,,0,,No response received
48,,2019-10-12T08:30:00.234+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/filler.png,HTTP/1.1,468,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,0,0,-1,213.186.33.107,,0,,No response received
