,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T15:32:46.684+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,2246,,,13,0,1489,219,1451,3,131,54.85.91.11,,1857,
1,,2019-10-12T15:32:50.440+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-f054f04e.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,523,61699,,,98,0,3379,170,3330,1,92,99.86.255.220,,3742,
2,,2019-10-12T15:32:50.440+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-76cee218.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,292564,,,289,0,3380,101,3339,1,92,99.86.255.220,,3864,
3,,2019-10-12T15:32:50.440+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-7a122bdf.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,537,25480,,,45,0,3386,118,3336,0,91,99.86.255.220,,3643,
4,,2019-10-12T15:32:50.440+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-8308ac72.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,314477,,,280,0,3386,110,3345,1,92,99.86.255.220,,3871,
5,,2019-10-12T15:32:51.185+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570883571176,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1226,,,0,-1,-1,179,-1,0,-1,54.85.91.11,,180,value
6,,2019-10-12T15:32:51.248+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,1333,,,1,-1,-1,89,-1,0,-1,99.86.255.220,,91,
7,,2019-10-12T15:32:51.249+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,956,,,1,-1,-1,88,-1,0,-1,99.86.255.220,,89,
8,,2019-10-12T15:32:51.249+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,2184,,,0,-1,-1,91,-1,0,-1,99.86.255.220,,92,
9,,2019-10-12T15:32:51.251+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,249,,,0,-1,-1,87,-1,0,-1,99.86.255.220,,88,
