,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.ssl,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T13:16:50.361+03:00,GET,http://ww7.good-v-evil.com/,HTTP/1.1,429,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,402,4028,,,6,52,0,7,-1,203,268,199.59.242.152,,539,
1,,2019-10-11T13:16:50.954+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=1&rn=7.158916846545718,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,6,-1,-1,3,-1,-1,173,199.59.242.152,,182,value
2,,2019-10-11T13:16:50.954+03:00,GET,http://www.google.com/adsense/domains/caf.js,HTTP/1.1,334,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,375,56267,,,122,35,0,1,-1,0,150,216.58.205.228,,310,
3,,2019-10-11T13:16:50.961+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=2&rn=7.158916846545718,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,2,27,0,1,-1,2,266,199.59.242.152,,299,value
