,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T14:54:06.712+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,18,0,2685,222,2637,2,773,104.154.63.26,,3702,
1,,2019-10-12T14:54:07.002+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,1,-1,-1,202,-1,2,-1,104.154.63.26,,206,
2,,2019-10-12T14:54:07.216+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,0,-1,-1,197,-1,0,-1,104.154.63.26,,198,
3,,2019-10-12T14:54:07.372+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,0,0,363,195,328,1,0,104.154.63.26,,561,
4,,2019-10-12T14:54:12.153+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33576,,,64,0,5153,108,5118,0,0,216.58.210.10,,5327,
5,,2019-10-12T14:54:12.341+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,8,0,5316,107,5280,0,27,216.58.207.42,,5460,value
6,,2019-10-12T14:54:12.356+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,5,0,5320,106,5291,0,32,216.58.207.42,,5465,value
7,,2019-10-12T14:54:12.356+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,7,0,5329,97,5292,0,33,216.58.207.42,,5468,value
8,,2019-10-12T14:54:12.529+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,0,-1,-1,102,-1,0,-1,216.58.207.42,,103,value
9,,2019-10-12T14:54:13.348+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,578,19983,,,52,0,818,117,784,0,0,216.58.207.72,,990,value
10,,2019-10-12T14:54:16.154+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,20724,,,51,0,3575,105,3538,1,0,172.217.21.227,,3734,
11,,2019-10-12T14:54:16.154+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20808,,,68,0,3575,107,3548,0,0,172.217.21.227,,3753,
12,,2019-10-12T14:54:16.154+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20872,,,66,0,3577,107,3540,1,0,172.217.21.227,,3753,
13,,2019-10-12T14:54:17.344+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,31,0,3815,97,3786,0,0,172.217.22.110,,3946,
14,,2019-10-12T14:54:17.548+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=478851488&t=pageview&_s=1&dl=https%3A%2F%2Fsleepyti.me%2F&ul=en-us&de=UTF-8&dt=sleepyti.me%20bedtime%20calculator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAEAB~&jid=344380961&gjid=33994260&cid=1174195251.1570881258&tid=UA-146934170-1&_gid=377687650.1570881258&_r=1&gtm=2wga21M2XBJ29&z=1006445257,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,1,-1,-1,98,-1,0,-1,172.217.22.110,,100,value
