,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T18:21:12.190+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,2248,,,2,222,98,2287,2321,0,10,3.219.183.180,,2656,
1,,2019-10-08T18:21:13.358+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-71c99cc9.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,524,61758,,,1,102,99,746,787,0,118,143.204.194.230,,1108,
2,,2019-10-08T18:21:13.359+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-29d23e06.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,291754,,,1,105,97,743,793,0,299,143.204.194.230,,1295,
3,,2019-10-08T18:21:13.360+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-3c552c7d.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,25462,,,1,100,96,751,794,0,44,143.204.194.230,,1037,
4,,2019-10-08T18:21:13.361+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-0e22125a.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,315052,,,0,91,96,743,795,0,266,143.204.194.230,,1250,
5,,2019-10-08T18:21:14.079+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570548074074,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1206,,,0,172,-1,-1,-1,-1,1,3.219.183.180,,174,value
6,,2019-10-08T18:21:14.133+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,1333,,,0,96,-1,-1,-1,-1,2,143.204.194.230,,99,
7,,2019-10-08T18:21:14.134+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,956,,,0,99,-1,-1,-1,-1,0,143.204.194.230,,101,
8,,2019-10-08T18:21:14.135+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2184,,,0,97,-1,-1,-1,-1,1,143.204.194.230,,100,
9,,2019-10-08T18:21:14.136+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,249,,,1,94,-1,-1,-1,-1,0,143.204.194.230,,97,
10,,2019-10-08T18:21:14.243+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,394,,,0,82,-1,-1,-1,-1,2,143.204.194.230,,85,
11,,2019-10-08T18:21:14.243+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,698,,,0,85,-1,-1,-1,-1,1,143.204.194.230,,87,
12,,2019-10-08T18:21:14.243+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,293,,,0,87,-1,-1,-1,-1,0,143.204.194.230,,89,
13,,2019-10-08T18:21:14.243+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-lingot.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,389,,,0,84,-1,-1,-1,-1,0,143.204.194.230,,85,
14,,2019-10-08T18:21:14.260+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,797,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1159,2,,,0,226,-1,-1,-1,-1,0,3.219.183.180,,227,
15,,2019-10-08T18:21:14.334+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-streak.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,454,,,0,94,-1,-1,-1,-1,0,143.204.194.230,,95,
16,,2019-10-08T18:21:14.338+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-app-store.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,463,,,0,91,-1,-1,-1,-1,0,143.204.194.230,,92,
17,,2019-10-08T18:21:14.338+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-plus-fly-circle-2.svg,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3190,,,0,91,-1,-1,-1,-1,0,143.204.194.230,,92,
18,,2019-10-08T18:21:14.338+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-play-store.svg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,618,,,0,90,-1,-1,-1,-1,1,143.204.194.230,,92,
19,,2019-10-08T18:21:14.436+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-traveler.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3419,,,0,107,-1,-1,-1,-1,4,143.204.194.230,,112,
20,,2019-10-08T18:21:14.436+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-schools.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2078,,,0,105,-1,-1,-1,-1,2,143.204.194.230,,108,
21,,2019-10-08T18:21:14.502+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/logo-white.svg,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,993,,,0,100,-1,-1,-1,-1,0,143.204.194.230,,101,
22,,2019-10-08T18:21:14.522+03:00,GET,https://www.duolingo.com/api/1/courses/list?_=1570548074506,HTTP/1.1,765,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,680,2910,,,1,191,0,263,294,0,0,3.219.183.180,,487,value
23,,2019-10-08T18:21:14.720+03:00,GET,https://www.duolingo.com/gcm-service-worker.js,HTTP/1.1,754,0,,200,OK,HTTP/1.1,0,application/javascript,,,716,2449,,,0,175,-1,-1,-1,-1,0,3.219.183.180,,177,
24,,2019-10-08T18:21:14.919+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/fonts/DINNextRoundedLTPro-Bold.woff,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,710,56944,,,1,165,0,330,365,0,68,143.204.194.230,,601,
25,,2019-10-08T18:21:15.161+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/fonts/DINNextRoundedLTPro-Regular.woff,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,710,54921,,,0,81,-1,-1,-1,-1,43,143.204.194.230,,126,
26,,2019-10-08T18:21:16.113+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-TX6Z97C,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,22046,,,0,116,0,2184,2212,0,46,216.58.207.72,,2376,value
27,,2019-10-08T18:21:16.477+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,0,156,0,1924,1959,0,0,52.0.132.190,,2117,
28,,2019-10-08T18:21:16.487+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,1,171,0,1935,1976,0,0,52.0.132.190,,2149,
29,,2019-10-08T18:21:16.500+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,0,164,0,1947,1989,0,0,52.0.132.190,,2155,
30,,2019-10-08T18:21:16.514+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,0,159,0,383,412,0,0,52.0.132.190,,573,
31,,2019-10-08T18:21:16.559+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,0,168,64,2372,2407,0,0,52.0.132.190,,2641,
32,,2019-10-08T18:21:16.560+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,0,165,0,2007,2044,0,0,52.0.132.190,,2210,
33,,2019-10-08T18:21:16.638+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,0,175,-1,-1,-1,-1,0,52.0.132.190,,176,
34,,2019-10-08T18:21:16.664+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,0,166,-1,-1,-1,-1,0,52.0.132.190,,167,
35,,2019-10-08T18:21:16.669+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,804,,200,OK,HTTP/1.1,0,,,,358,34,,,0,279,-1,-1,-1,-1,0,52.0.132.190,,279,
36,,2019-10-08T18:21:16.678+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,921,,200,OK,HTTP/1.1,0,,,,358,34,,,0,207,-1,-1,-1,-1,0,52.0.132.190,,208,
37,,2019-10-08T18:21:16.730+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,922,,200,OK,HTTP/1.1,0,,,,358,34,,,0,184,-1,-1,-1,-1,0,52.0.132.190,,185,
38,,2019-10-08T18:21:16.733+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,825,,200,OK,HTTP/1.1,0,,,,358,34,,,0,289,-1,-1,-1,-1,0,52.0.132.190,,290,
39,,2019-10-08T18:21:16.817+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,852,,200,OK,HTTP/1.1,0,,,,358,34,,,0,282,-1,-1,-1,-1,0,52.0.132.190,,283,
40,,2019-10-08T18:21:16.889+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,860,,200,OK,HTTP/1.1,0,,,,358,34,,,0,290,-1,-1,-1,-1,0,52.0.132.190,,291,
41,,2019-10-08T18:21:16.918+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,901,,200,OK,HTTP/1.1,0,,,,358,34,,,0,291,-1,-1,-1,-1,0,52.0.132.190,,292,
42,,2019-10-08T18:21:17.479+03:00,GET,https://connect.facebook.net/en_US/fbevents.js,HTTP/1.1,363,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,1176,31625,,,0,94,31,950,989,0,65,157.240.1.23,,1181,
43,,2019-10-08T18:21:17.659+03:00,GET,https://connect.facebook.net/signals/config/1735692093320310?v=2.9.4&r=stable,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,1176,79816,,,0,95,-1,-1,-1,-1,98,157.240.1.23,,194,value
44,,2019-10-08T18:21:17.874+03:00,GET,https://connect.facebook.net/signals/plugins/inferredEvents.js?v=2.9.4,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,1226,10218,,,0,99,-1,-1,-1,-1,4,157.240.1.23,,104,value
45,,2019-10-08T18:21:19.522+03:00,GET,https://client.perimeterx.net/PXAsQJFZ9W/main.min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,618,26764,,,0,98,28,5376,5407,0,59,151.101.18.110,,5595,
